"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",52.168324,11.951643,82,145.751000,142.625000,151.553000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",13.206684,3.025621,82,36.897000,36.576000,37.568000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",11.592700,2.655861,82,32.388000,30.689000,32.928000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",7.076431,1.621194,82,19.770000,19.456000,20.384000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.490644,1.257894,82,15.340000,15.072000,15.616000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",3.954610,0.905992,82,11.048000,10.560000,12.736000,"[CUDA memcpy DtoD]"
"GPU activities",1.894615,0.434052,3,144.684000,40.193000,296.770000,"[CUDA memcpy HtoD]"
"GPU activities",1.589143,0.364069,167,2.180000,0.768000,75.680000,"[CUDA memcpy DtoH]"
"GPU activities",1.144953,0.262306,82,3.198000,2.656000,14.400000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.123577,0.257409,82,3.139000,2.656000,14.016000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.296398,0.067904,1,67.904000,67.904000,67.904000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.232848,0.053345,2,26.672000,25.921000,27.424000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.229073,0.052480,2,26.240000,26.016000,26.464000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",86.026701,530.741553,2,265370.776000,11.240000,530730.313000,"cudaHostAlloc"
"API calls",9.427764,58.164569,1,58164.569000,58164.569000,58164.569000,"cudaDeviceReset"
"API calls",2.776338,17.128611,164,104.442000,40.558000,161.340000,"cudaDeviceSynchronize"
"API calls",0.561501,3.464179,579,5.983000,4.074000,34.542000,"cudaLaunchKernel"
"API calls",0.301269,1.858681,88,21.121000,8.157000,336.244000,"cudaMemcpy"
"API calls",0.283986,1.752049,164,10.683000,9.020000,33.548000,"cudaMemcpyAsync"
"API calls",0.204669,1.262706,172,7.341000,4.118000,102.597000,"cudaMalloc"
"API calls",0.123996,0.764995,172,4.447000,0.396000,24.676000,"cudaFree"
"API calls",0.119822,0.739239,328,2.253000,1.940000,21.540000,"cudaFuncGetAttributes"
"API calls",0.037676,0.232441,164,1.417000,1.040000,15.277000,"cudaStreamSynchronize"
"API calls",0.030403,0.187574,328,0.571000,0.403000,18.746000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.026825,0.165497,97,1.706000,0.117000,67.076000,"cuDeviceGetAttribute"
"API calls",0.023074,0.142352,1,142.352000,142.352000,142.352000,"cuDeviceTotalMem"
"API calls",0.020597,0.127075,328,0.387000,0.242000,18.481000,"cudaGetDevice"
"API calls",0.018061,0.111425,328,0.339000,0.230000,0.707000,"cudaDeviceGetAttribute"
"API calls",0.007286,0.044948,328,0.137000,0.102000,0.408000,"cudaPeekAtLastError"
"API calls",0.005206,0.032120,1,32.120000,32.120000,32.120000,"cuDeviceGetName"
"API calls",0.003935,0.024278,164,0.148000,0.121000,0.285000,"cudaGetLastError"
"API calls",0.000484,0.002984,1,2.984000,2.984000,2.984000,"cuDeviceGetPCIBusId"
"API calls",0.000256,0.001582,3,0.527000,0.115000,1.264000,"cuDeviceGetCount"
"API calls",0.000114,0.000706,2,0.353000,0.142000,0.564000,"cuDeviceGet"
"API calls",0.000037,0.000231,1,0.231000,0.231000,0.231000,"cuDeviceGetUuid"
