"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",50.996882,8.459093,77,109.858000,108.097000,117.728000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",16.558908,2.746704,77,35.671000,35.200000,36.096000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",13.598209,2.255599,77,29.293000,28.736000,29.920000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",5.091126,0.844489,77,10.967000,10.656000,12.737000,"[CUDA memcpy DtoD]"
"GPU activities",5.000624,0.829477,77,10.772000,10.496000,11.360000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",1.965640,0.326050,157,2.076000,0.800000,76.896000,"[CUDA memcpy DtoH]"
"GPU activities",1.952142,0.323811,3,107.937000,32.161000,195.425000,"[CUDA memcpy HtoD]"
"GPU activities",1.544503,0.256194,77,3.327000,2.944000,15.488000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.374351,0.227970,77,2.960000,2.432000,15.617000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.884541,0.146723,77,1.905000,1.792000,2.560000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",0.405125,0.067200,1,67.200000,67.200000,67.200000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.316962,0.052576,2,26.288000,25.760000,26.816000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.310988,0.051585,2,25.792000,25.601000,25.984000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",84.548350,426.737264,2,213368.632000,7.766000,426729.498000,"cudaHostAlloc"
"API calls",11.260550,56.834892,1,56834.892000,56834.892000,56834.892000,"cudaDeviceReset"
"API calls",2.271982,11.467277,154,74.462000,20.050000,119.838000,"cudaDeviceSynchronize"
"API calls",0.609372,3.075657,544,5.653000,3.801000,32.546000,"cudaLaunchKernel"
"API calls",0.312925,1.579412,154,10.255000,9.095000,28.559000,"cudaMemcpyAsync"
"API calls",0.305652,1.542702,83,18.586000,8.139000,287.519000,"cudaMemcpy"
"API calls",0.236909,1.195743,162,7.381000,4.151000,89.064000,"cudaMalloc"
"API calls",0.138322,0.698146,162,4.309000,0.384000,25.657000,"cudaFree"
"API calls",0.128388,0.648008,308,2.103000,1.870000,22.086000,"cudaFuncGetAttributes"
"API calls",0.038090,0.192250,154,1.248000,1.115000,2.312000,"cudaStreamSynchronize"
"API calls",0.030819,0.155553,1,155.553000,155.553000,155.553000,"cuDeviceTotalMem"
"API calls",0.029828,0.150551,308,0.488000,0.367000,1.451000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.023484,0.118532,308,0.384000,0.250000,13.122000,"cudaDeviceGetAttribute"
"API calls",0.022105,0.111569,97,1.150000,0.104000,47.656000,"cuDeviceGetAttribute"
"API calls",0.020859,0.105280,308,0.341000,0.257000,1.438000,"cudaGetDevice"
"API calls",0.008620,0.043506,1,43.506000,43.506000,43.506000,"cuDeviceGetName"
"API calls",0.007631,0.038514,308,0.125000,0.091000,0.257000,"cudaPeekAtLastError"
"API calls",0.004601,0.023221,154,0.150000,0.129000,0.216000,"cudaGetLastError"
"API calls",0.000866,0.004373,1,4.373000,4.373000,4.373000,"cuDeviceGetPCIBusId"
"API calls",0.000421,0.002125,3,0.708000,0.184000,1.621000,"cuDeviceGetCount"
"API calls",0.000189,0.000956,2,0.478000,0.211000,0.745000,"cuDeviceGet"
"API calls",0.000036,0.000183,1,0.183000,0.183000,0.183000,"cuDeviceGetUuid"
