"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",52.425860,12.004315,83,144.630000,141.601000,150.721000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",13.257101,3.035571,83,36.573000,36.192000,36.960000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",11.807886,2.703734,83,32.575000,31.553000,33.120000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",7.194623,1.647403,83,19.848000,19.552000,20.288000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.498570,1.259046,83,15.169000,14.880000,15.456000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.088608,0.936197,83,11.279000,10.880000,12.864000,"[CUDA memcpy DtoD]"
"GPU activities",1.519262,0.347876,3,115.958000,31.873000,219.938000,"[CUDA memcpy HtoD]"
"GPU activities",1.398084,0.320129,169,1.894000,0.768000,61.697000,"[CUDA memcpy DtoH]"
"GPU activities",1.086576,0.248801,83,2.997000,2.688000,4.960000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.974635,0.223169,83,2.688000,2.368000,8.800000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.294737,0.067488,1,67.488000,67.488000,67.488000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.229054,0.052448,2,26.224000,25.536000,26.912000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.225005,0.051521,2,25.760000,25.536000,25.985000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",59.910932,178.535792,2,89267.896000,9.810000,178525.982000,"cudaHostAlloc"
"API calls",30.501704,90.895695,1,90895.695000,90895.695000,90895.695000,"cudaDeviceReset"
"API calls",5.464571,16.284532,166,98.099000,43.591000,144.367000,"cudaDeviceSynchronize"
"API calls",1.319478,3.932072,586,6.710000,4.855000,29.447000,"cudaLaunchKernel"
"API calls",0.634642,1.891246,166,11.393000,10.803000,26.809000,"cudaMemcpyAsync"
"API calls",0.612147,1.824209,89,20.496000,10.352000,275.284000,"cudaMemcpy"
"API calls",0.482265,1.437160,174,8.259000,5.697000,103.445000,"cudaMalloc"
"API calls",0.309638,0.922728,174,5.303000,0.603000,11.031000,"cudaFree"
"API calls",0.299567,0.892716,332,2.688000,2.483000,9.841000,"cudaFuncGetAttributes"
"API calls",0.089063,0.265410,1,265.410000,265.410000,265.410000,"cuDeviceTotalMem"
"API calls",0.086581,0.258012,166,1.554000,1.441000,2.270000,"cudaStreamSynchronize"
"API calls",0.074384,0.221665,97,2.285000,0.196000,90.131000,"cuDeviceGetAttribute"
"API calls",0.069597,0.207401,332,0.624000,0.479000,1.720000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.047319,0.141013,332,0.424000,0.305000,1.200000,"cudaGetDevice"
"API calls",0.045801,0.136488,332,0.411000,0.309000,0.929000,"cudaDeviceGetAttribute"
"API calls",0.021763,0.064853,332,0.195000,0.155000,0.319000,"cudaPeekAtLastError"
"API calls",0.016484,0.049122,1,49.122000,49.122000,49.122000,"cuDeviceGetName"
"API calls",0.010758,0.032060,166,0.193000,0.156000,0.267000,"cudaGetLastError"
"API calls",0.001583,0.004718,1,4.718000,4.718000,4.718000,"cuDeviceGetPCIBusId"
"API calls",0.001069,0.003187,3,1.062000,0.280000,2.172000,"cuDeviceGetCount"
"API calls",0.000494,0.001473,2,0.736000,0.349000,1.124000,"cuDeviceGet"
"API calls",0.000159,0.000475,1,0.475000,0.475000,0.475000,"cuDeviceGetUuid"
