"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",52.131042,12.114881,83,145.962000,142.561000,148.673000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",13.155883,3.057333,83,36.835000,36.384000,37.569000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.684010,2.947673,83,35.514000,34.912000,36.864000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",7.189666,1.670827,83,20.130000,19.648000,20.544000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.432358,1.262441,83,15.210000,15.008000,15.584000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",3.858596,0.896710,83,10.803000,10.496000,11.520000,"[CUDA memcpy DtoD]"
"GPU activities",1.400676,0.325507,3,108.502000,31.969000,197.505000,"[CUDA memcpy HtoD]"
"GPU activities",1.374655,0.319460,169,1.890000,0.768000,61.665000,"[CUDA memcpy DtoH]"
"GPU activities",1.196599,0.278081,83,3.350000,2.944000,3.648000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.828812,0.192610,83,2.320000,2.240000,3.456000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.292470,0.067968,1,67.968000,67.968000,67.968000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.228441,0.053088,2,26.544000,26.240000,26.848000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.226793,0.052705,2,26.352000,25.984000,26.721000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",59.068867,129.365118,2,64682.559000,7.982000,129357.136000,"cudaHostAlloc"
"API calls",28.089607,61.518284,1,61518.284000,61518.284000,61518.284000,"cudaDeviceReset"
"API calls",8.154943,17.859919,166,107.589000,30.627000,161.332000,"cudaDeviceSynchronize"
"API calls",1.477383,3.235576,586,5.521000,3.724000,29.615000,"cudaLaunchKernel"
"API calls",0.755454,1.654500,89,18.589000,7.823000,291.309000,"cudaMemcpy"
"API calls",0.743180,1.627619,166,9.804000,8.921000,22.321000,"cudaMemcpyAsync"
"API calls",0.564379,1.236031,174,7.103000,4.409000,82.283000,"cudaMalloc"
"API calls",0.331542,0.726101,174,4.172000,0.383000,25.053000,"cudaFree"
"API calls",0.319059,0.698762,332,2.104000,1.870000,15.016000,"cudaFuncGetAttributes"
"API calls",0.110019,0.240949,166,1.451000,1.122000,21.545000,"cudaStreamSynchronize"
"API calls",0.090011,0.197130,1,197.130000,197.130000,197.130000,"cuDeviceTotalMem"
"API calls",0.085470,0.187186,332,0.563000,0.360000,36.159000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.055824,0.122259,332,0.368000,0.233000,18.229000,"cudaDeviceGetAttribute"
"API calls",0.052369,0.114693,97,1.182000,0.112000,48.589000,"cuDeviceGetAttribute"
"API calls",0.047018,0.102973,332,0.310000,0.236000,1.124000,"cudaGetDevice"
"API calls",0.025069,0.054902,332,0.165000,0.087000,11.210000,"cudaPeekAtLastError"
"API calls",0.015137,0.033151,1,33.151000,33.151000,33.151000,"cuDeviceGetName"
"API calls",0.011238,0.024613,166,0.148000,0.126000,0.239000,"cudaGetLastError"
"API calls",0.001828,0.004004,1,4.004000,4.004000,4.004000,"cuDeviceGetPCIBusId"
"API calls",0.001084,0.002374,3,0.791000,0.185000,1.159000,"cuDeviceGetCount"
"API calls",0.000427,0.000935,2,0.467000,0.305000,0.630000,"cuDeviceGet"
"API calls",0.000092,0.000201,1,0.201000,0.201000,0.201000,"cuDeviceGetUuid"
