"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",55.275533,25.292054,180,140.511000,134.913000,599.588000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",13.429919,6.145038,180,34.139000,33.632000,35.360000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.026638,5.502948,180,30.571000,29.728000,32.192000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",5.517001,2.524377,180,14.024000,13.792000,14.304000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.535912,2.075467,180,11.530000,11.168000,12.256000,"[CUDA memcpy DtoD]"
"GPU activities",3.593112,1.644076,180,9.133000,8.608000,10.208000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",2.006955,0.918309,180,5.101000,1.920000,492.739000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.153875,0.527971,180,2.933000,2.048000,97.601000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.086457,0.497123,3,165.707000,38.304000,331.010000,"[CUDA memcpy HtoD]"
"GPU activities",1.028972,0.470820,363,1.297000,0.768000,62.080000,"[CUDA memcpy DtoH]"
"GPU activities",0.135118,0.061825,1,61.825000,61.825000,61.825000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.106302,0.048640,2,24.320000,23.872000,24.768000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.104204,0.047680,2,23.840000,23.552000,24.128000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",59.341846,183.086247,2,91543.123000,12.678000,183073.569000,"cudaHostAlloc"
"API calls",20.040751,61.831342,1,61831.342000,61831.342000,61831.342000,"cudaDeviceReset"
"API calls",10.808846,33.348323,360,92.634000,4.889000,733.866000,"cudaDeviceSynchronize"
"API calls",3.449277,10.641989,1265,8.412000,5.216000,40.357000,"cudaLaunchKernel"
"API calls",1.480666,4.568270,360,12.689000,10.695000,26.071000,"cudaMemcpyAsync"
"API calls",1.365858,4.214054,368,11.451000,5.700000,792.802000,"cudaMalloc"
"API calls",1.081220,3.335867,186,17.934000,9.162000,440.381000,"cudaMemcpy"
"API calls",0.786076,2.425266,368,6.590000,0.556000,23.342000,"cudaFree"
"API calls",0.764609,2.359034,720,3.276000,2.514000,13.495000,"cudaFuncGetAttributes"
"API calls",0.228091,0.703726,360,1.954000,1.487000,4.037000,"cudaStreamSynchronize"
"API calls",0.176820,0.545538,720,0.757000,0.465000,2.414000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.113972,0.351635,720,0.488000,0.300000,1.248000,"cudaDeviceGetAttribute"
"API calls",0.110478,0.340857,720,0.473000,0.309000,1.622000,"cudaGetDevice"
"API calls",0.091304,0.281700,1,281.700000,281.700000,281.700000,"cuDeviceTotalMem"
"API calls",0.074618,0.230217,97,2.373000,0.186000,93.622000,"cuDeviceGetAttribute"
"API calls",0.044773,0.138137,720,0.191000,0.119000,0.591000,"cudaPeekAtLastError"
"API calls",0.025722,0.079361,360,0.220000,0.151000,0.625000,"cudaGetLastError"
"API calls",0.012773,0.039409,1,39.409000,39.409000,39.409000,"cuDeviceGetName"
"API calls",0.000877,0.002706,3,0.902000,0.405000,1.837000,"cuDeviceGetCount"
"API calls",0.000834,0.002574,1,2.574000,2.574000,2.574000,"cuDeviceGetPCIBusId"
"API calls",0.000427,0.001316,2,0.658000,0.380000,0.936000,"cuDeviceGet"
"API calls",0.000160,0.000495,1,0.495000,0.495000,0.495000,"cuDeviceGetUuid"
