"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",55.740419,25.783523,177,145.669000,142.337000,149.665000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",14.127327,6.534796,177,36.919000,36.512000,37.281000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.371452,5.722591,177,32.331000,30.721000,33.248000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",5.806409,2.685837,177,15.174000,14.944000,15.488000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.584285,2.120526,177,11.980000,11.552000,13.696000,"[CUDA memcpy DtoD]"
"GPU activities",3.485287,1.612169,177,9.108000,8.672000,9.921000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.024764,0.474019,357,1.327000,0.800000,61.696000,"[CUDA memcpy DtoH]"
"GPU activities",0.958356,0.443301,177,2.504000,2.304000,15.328000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.825881,0.382023,177,2.158000,2.048000,3.264000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",0.701903,0.324675,3,108.225000,31.937000,196.097000,"[CUDA memcpy HtoD]"
"GPU activities",0.146179,0.067617,1,67.617000,67.617000,67.617000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.115184,0.053280,2,26.640000,26.080000,27.200000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.112555,0.052064,2,26.032000,25.760000,26.304000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",83.285625,574.458607,2,287229.303000,8.000000,574450.607000,"cudaHostAlloc"
"API calls",8.673717,59.826549,1,59826.549000,59826.549000,59826.549000,"cudaDeviceReset"
"API calls",5.169891,35.659078,354,100.731000,31.983000,158.291000,"cudaDeviceSynchronize"
"API calls",0.974334,6.720424,1244,5.402000,3.589000,25.627000,"cudaLaunchKernel"
"API calls",0.500440,3.451761,354,9.750000,9.241000,23.084000,"cudaMemcpyAsync"
"API calls",0.312300,2.154074,183,11.770000,6.879000,287.654000,"cudaMemcpy"
"API calls",0.295913,2.041047,362,5.638000,4.334000,84.923000,"cudaMalloc"
"API calls",0.225080,1.552481,362,4.288000,0.398000,22.629000,"cudaFree"
"API calls",0.214528,1.479700,708,2.089000,1.895000,14.987000,"cudaFuncGetAttributes"
"API calls",0.083851,0.578361,97,5.962000,0.223000,277.576000,"cuDeviceGetAttribute"
"API calls",0.065308,0.450457,354,1.272000,1.101000,19.415000,"cudaStreamSynchronize"
"API calls",0.051728,0.356790,708,0.503000,0.377000,13.472000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.038124,0.262956,708,0.371000,0.260000,25.647000,"cudaGetDevice"
"API calls",0.036653,0.252811,708,0.357000,0.234000,34.592000,"cudaDeviceGetAttribute"
"API calls",0.036087,0.248911,1,248.911000,248.911000,248.911000,"cuDeviceTotalMem"
"API calls",0.013044,0.089968,708,0.127000,0.099000,0.180000,"cudaPeekAtLastError"
"API calls",0.012490,0.086147,1,86.147000,86.147000,86.147000,"cuDeviceGetName"
"API calls",0.009876,0.068116,354,0.192000,0.122000,18.320000,"cudaGetLastError"
"API calls",0.000527,0.003636,1,3.636000,3.636000,3.636000,"cuDeviceGetPCIBusId"
"API calls",0.000295,0.002036,3,0.678000,0.178000,1.577000,"cuDeviceGetCount"
"API calls",0.000128,0.000884,2,0.442000,0.201000,0.683000,"cuDeviceGet"
"API calls",0.000060,0.000411,1,0.411000,0.411000,0.411000,"cuDeviceGetUuid"
