"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",49.803133,11.333581,145,78.162000,76.832000,80.256000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",17.342752,3.946649,145,27.218000,26.688000,27.712000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",16.784667,3.819647,145,26.342000,25.920000,26.752000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.043850,1.147817,145,7.915000,7.776000,8.352000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<bool>, thrust::device_ptr<float>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.622812,0.596867,145,4.116000,3.744000,7.232000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",2.402174,0.546657,145,3.770000,3.584000,4.192000,"[CUDA memcpy DtoD]"
"GPU activities",1.723281,0.392163,145,2.704000,2.400000,3.488000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.466373,0.333699,145,2.301000,1.984000,6.176000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.441615,0.328065,293,1.119000,0.768000,31.168000,"[CUDA memcpy DtoH]"
"GPU activities",1.063214,0.241953,3,80.651000,32.096000,113.089000,"[CUDA memcpy HtoD]"
"GPU activities",0.295723,0.067297,1,67.297000,67.297000,67.297000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.010406,0.002368,4,0.592000,0.544000,0.672000,"[CUDA memset]"
"API calls",80.446514,363.060968,2,181530.484000,7.825000,363053.143000,"cudaHostAlloc"
"API calls",12.769707,57.630618,2,28815.309000,409.034000,57221.584000,"cudaDeviceReset"
"API calls",3.280159,14.803596,290,51.046000,8.587000,72.924000,"cudaDeviceSynchronize"
"API calls",1.131738,5.107614,1016,5.027000,3.739000,40.152000,"cudaLaunchKernel"
"API calls",0.620879,2.802071,290,9.662000,8.889000,32.638000,"cudaMemcpyAsync"
"API calls",0.419211,1.891928,151,12.529000,8.127000,180.463000,"cudaMemcpy"
"API calls",0.399277,1.801968,298,6.046000,4.233000,150.282000,"cudaMalloc"
"API calls",0.279724,1.262414,298,4.236000,0.385000,22.382000,"cudaFree"
"API calls",0.276254,1.246756,580,2.149000,1.985000,14.859000,"cudaFuncGetAttributes"
"API calls",0.078688,0.355123,290,1.224000,1.062000,19.191000,"cudaStreamSynchronize"
"API calls",0.069618,0.314191,580,0.541000,0.390000,18.836000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.050753,0.229054,97,2.361000,0.106000,160.725000,"cuDeviceGetAttribute"
"API calls",0.047914,0.216238,580,0.372000,0.252000,18.426000,"cudaGetDevice"
"API calls",0.040715,0.183751,580,0.316000,0.228000,0.724000,"cudaDeviceGetAttribute"
"API calls",0.028042,0.126555,1,126.555000,126.555000,126.555000,"cuDeviceTotalMem"
"API calls",0.020826,0.093990,1,93.990000,93.990000,93.990000,"cuDeviceGetName"
"API calls",0.016070,0.072525,580,0.125000,0.092000,0.231000,"cudaPeekAtLastError"
"API calls",0.009340,0.042150,290,0.145000,0.122000,0.234000,"cudaGetLastError"
"API calls",0.008911,0.040214,4,10.053000,4.552000,23.176000,"cudaMemset"
"API calls",0.004123,0.018609,2,9.304000,0.142000,18.467000,"cuDeviceGet"
"API calls",0.001099,0.004958,1,4.958000,4.958000,4.958000,"cuDeviceGetPCIBusId"
"API calls",0.000393,0.001775,3,0.591000,0.125000,1.432000,"cuDeviceGetCount"
"API calls",0.000046,0.000207,1,0.207000,0.207000,0.207000,"cuDeviceGetUuid"
