"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",51.208288,11.940557,82,145.616000,143.681000,152.449000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",12.922426,3.013203,82,36.746000,36.384000,37.632000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.385146,2.887922,82,35.218000,34.752000,38.272000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",7.046532,1.643084,82,20.037000,19.713000,20.352000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.292932,1.234186,82,15.051000,14.848000,15.360000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",3.897378,0.908776,82,11.082000,10.560000,12.993000,"[CUDA memcpy DtoD]"
"GPU activities",2.524451,0.588642,82,7.178000,2.368000,366.402000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.430960,0.333666,167,1.998000,0.768000,76.705000,"[CUDA memcpy DtoH]"
"GPU activities",1.397338,0.325826,3,108.608000,31.968000,196.129000,"[CUDA memcpy HtoD]"
"GPU activities",1.159513,0.270371,82,3.297000,2.848000,3.808000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.288061,0.067169,1,67.169000,67.169000,67.169000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.225477,0.052576,2,26.288000,25.568000,27.008000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.221498,0.051648,2,25.824000,25.600000,26.048000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",85.975405,515.369714,2,257684.857000,7.661000,515362.053000,"cudaHostAlloc"
"API calls",9.334895,55.956961,1,55956.961000,55956.961000,55956.961000,"cudaDeviceReset"
"API calls",3.036567,18.202351,164,110.989000,12.965000,488.185000,"cudaDeviceSynchronize"
"API calls",0.526904,3.158467,579,5.455000,3.868000,27.772000,"cudaLaunchKernel"
"API calls",0.263675,1.580567,88,17.960000,8.183000,284.309000,"cudaMemcpy"
"API calls",0.262126,1.571283,164,9.580000,9.013000,32.009000,"cudaMemcpyAsync"
"API calls",0.187052,1.121262,172,6.518000,4.327000,84.586000,"cudaMalloc"
"API calls",0.122049,0.731611,328,2.230000,2.026000,20.477000,"cudaFuncGetAttributes"
"API calls",0.120705,0.723553,172,4.206000,0.392000,29.524000,"cudaFree"
"API calls",0.035400,0.212200,164,1.293000,1.086000,14.054000,"cudaStreamSynchronize"
"API calls",0.030274,0.181472,328,0.553000,0.407000,18.693000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.024009,0.143917,97,1.483000,0.107000,61.003000,"cuDeviceGetAttribute"
"API calls",0.022916,0.137366,1,137.366000,137.366000,137.366000,"cuDeviceTotalMem"
"API calls",0.017633,0.105701,328,0.322000,0.242000,1.058000,"cudaGetDevice"
"API calls",0.017385,0.104215,328,0.317000,0.240000,0.732000,"cudaDeviceGetAttribute"
"API calls",0.008274,0.049600,1,49.600000,49.600000,49.600000,"cuDeviceGetName"
"API calls",0.007134,0.042766,328,0.130000,0.092000,0.192000,"cudaPeekAtLastError"
"API calls",0.006442,0.038617,164,0.235000,0.143000,12.805000,"cudaGetLastError"
"API calls",0.000803,0.004815,1,4.815000,4.815000,4.815000,"cuDeviceGetPCIBusId"
"API calls",0.000230,0.001379,3,0.459000,0.110000,1.040000,"cuDeviceGetCount"
"API calls",0.000086,0.000516,2,0.258000,0.159000,0.357000,"cuDeviceGet"
"API calls",0.000035,0.000208,1,0.208000,0.208000,0.208000,"cuDeviceGetUuid"
