"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",50.350432,9.538183,115,82.940000,77.504000,371.459000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",16.556893,3.136471,115,27.273000,26.720000,28.352000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",16.081022,3.046324,115,26.489000,25.921000,28.256000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",4.989823,0.945252,115,8.219000,7.840000,14.176000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.544343,0.481990,115,4.191000,3.904000,4.768000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",2.441469,0.462502,115,4.021000,3.744000,16.512000,"[CUDA memcpy DtoD]"
"GPU activities",2.173035,0.411651,115,3.579000,2.464000,106.145000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.739078,0.329444,115,2.864000,2.400000,14.688000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.556294,0.294818,233,1.265000,0.768000,31.328000,"[CUDA memcpy DtoH]"
"GPU activities",1.198178,0.226978,3,75.659000,32.256000,98.305000,"[CUDA memcpy HtoD]"
"GPU activities",0.358116,0.067840,1,67.840000,67.840000,67.840000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.011318,0.002144,4,0.536000,0.512000,0.544000,"[CUDA memset]"
"API calls",61.031657,137.537335,2,68768.667000,7.635000,137529.700000,"cudaHostAlloc"
"API calls",27.418731,61.789231,2,30894.615000,651.469000,61137.762000,"cudaDeviceReset"
"API calls",5.742276,12.940454,230,56.262000,5.652000,365.977000,"cudaDeviceSynchronize"
"API calls",1.892496,4.264817,806,5.291000,3.921000,31.817000,"cudaLaunchKernel"
"API calls",1.008795,2.273361,230,9.884000,8.932000,32.713000,"cudaMemcpyAsync"
"API calls",0.722061,1.627195,121,13.447000,7.780000,154.369000,"cudaMemcpy"
"API calls",0.649379,1.463403,238,6.148000,4.148000,78.712000,"cudaMalloc"
"API calls",0.456618,1.029008,460,2.236000,1.874000,20.885000,"cudaFuncGetAttributes"
"API calls",0.441453,0.994832,238,4.179000,0.393000,22.830000,"cudaFree"
"API calls",0.140213,0.315976,230,1.373000,1.145000,31.592000,"cudaStreamSynchronize"
"API calls",0.101683,0.229146,1,229.146000,229.146000,229.146000,"cuDeviceTotalMem"
"API calls",0.099053,0.223220,460,0.485000,0.388000,1.114000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.084920,0.191370,97,1.972000,0.202000,80.020000,"cuDeviceGetAttribute"
"API calls",0.070265,0.158344,460,0.344000,0.241000,13.108000,"cudaDeviceGetAttribute"
"API calls",0.065286,0.147125,460,0.319000,0.240000,0.890000,"cudaGetDevice"
"API calls",0.022376,0.050426,460,0.109000,0.086000,0.223000,"cudaPeekAtLastError"
"API calls",0.016871,0.038019,4,9.504000,4.193000,22.073000,"cudaMemset"
"API calls",0.015721,0.035429,1,35.429000,35.429000,35.429000,"cuDeviceGetName"
"API calls",0.015101,0.034031,230,0.147000,0.122000,0.203000,"cudaGetLastError"
"API calls",0.002773,0.006248,1,6.248000,6.248000,6.248000,"cuDeviceGetPCIBusId"
"API calls",0.001587,0.003576,3,1.192000,0.213000,1.889000,"cuDeviceGetCount"
"API calls",0.000523,0.001178,2,0.589000,0.344000,0.834000,"cuDeviceGet"
"API calls",0.000163,0.000367,1,0.367000,0.367000,0.367000,"cuDeviceGetUuid"
