"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",48.231455,9.159323,115,79.646000,78.464000,85.696000,"void part_spmv<float>(float*, float*, float*, int*, int*, bool*, unsigned int)"
"GPU activities",18.804628,3.571065,115,31.052000,28.193000,286.786000,"void part_compute_error<float>(float*, float*, float*, bool*, unsigned int)"
"GPU activities",16.547834,3.142492,115,27.326000,26.880000,28.960000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",4.882527,0.927209,115,8.062000,7.904000,8.672000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.394010,0.454631,115,3.953000,3.712000,7.136000,"[CUDA memcpy DtoD]"
"GPU activities",2.369730,0.450020,115,3.913000,3.712000,5.664000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",2.313606,0.439362,115,3.820000,2.144000,131.041000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.485565,0.282114,233,1.210000,0.768000,31.425000,"[CUDA memcpy DtoH]"
"GPU activities",1.410258,0.267813,115,2.328000,2.048000,5.728000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.191863,0.226339,3,75.446000,31.777000,98.529000,"[CUDA memcpy HtoD]"
"GPU activities",0.357234,0.067840,1,67.840000,67.840000,67.840000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.011290,0.002144,4,0.536000,0.512000,0.544000,"[CUDA memset]"
"API calls",54.605875,143.850010,2,71925.005000,10.028000,143839.982000,"cudaHostAlloc"
"API calls",34.849677,91.805625,2,45902.812000,1082.893000,90722.732000,"cudaDeviceReset"
"API calls",4.623190,12.179017,230,52.952000,6.499000,290.796000,"cudaDeviceSynchronize"
"API calls",1.952695,5.144048,806,6.382000,4.993000,17.653000,"cudaLaunchKernel"
"API calls",0.943164,2.484607,230,10.802000,9.999000,25.390000,"cudaMemcpyAsync"
"API calls",0.688753,1.814403,238,7.623000,5.440000,106.445000,"cudaMalloc"
"API calls",0.682771,1.798646,121,14.864000,9.597000,146.442000,"cudaMemcpy"
"API calls",0.470135,1.238493,238,5.203000,0.567000,13.342000,"cudaFree"
"API calls",0.464287,1.223087,460,2.658000,2.365000,15.925000,"cudaFuncGetAttributes"
"API calls",0.134589,0.354551,230,1.541000,1.363000,3.505000,"cudaStreamSynchronize"
"API calls",0.134148,0.353390,1,353.390000,353.390000,353.390000,"cuDeviceTotalMem"
"API calls",0.124922,0.329086,97,3.392000,0.332000,146.587000,"cuDeviceGetAttribute"
"API calls",0.105234,0.277221,460,0.602000,0.466000,1.349000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.069689,0.183585,460,0.399000,0.298000,1.218000,"cudaGetDevice"
"API calls",0.066880,0.176183,460,0.383000,0.289000,1.368000,"cudaDeviceGetAttribute"
"API calls",0.025416,0.066953,460,0.145000,0.107000,0.305000,"cudaPeekAtLastError"
"API calls",0.021669,0.057083,1,57.083000,57.083000,57.083000,"cuDeviceGetName"
"API calls",0.017539,0.046203,4,11.550000,5.606000,26.901000,"cudaMemset"
"API calls",0.015220,0.040094,230,0.174000,0.149000,0.502000,"cudaGetLastError"
"API calls",0.001725,0.004543,1,4.543000,4.543000,4.543000,"cuDeviceGetPCIBusId"
"API calls",0.001456,0.003836,3,1.278000,0.346000,2.392000,"cuDeviceGetCount"
"API calls",0.000721,0.001899,2,0.949000,0.511000,1.388000,"cuDeviceGet"
"API calls",0.000247,0.000650,1,0.650000,0.650000,0.650000,"cuDeviceGetUuid"
