"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",50.260654,9.073764,115,78.902000,77.377000,80.672000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",17.408729,3.142870,115,27.329000,26.816000,27.904000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",16.892229,3.049624,115,26.518000,26.144000,27.008000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.357125,0.967144,115,8.409000,8.064000,8.576000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.440248,0.440548,115,3.830000,3.712000,4.160000,"[CUDA memcpy DtoD]"
"GPU activities",1.721841,0.310851,115,2.703000,2.336000,3.872000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, float*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.553972,0.280545,233,1.204000,0.800000,31.393000,"[CUDA memcpy DtoH]"
"GPU activities",1.419975,0.256354,115,2.229000,2.016000,3.616000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.318576,0.238048,115,2.069000,1.824000,3.040000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.238647,0.223618,3,74.539000,32.033000,95.969000,"[CUDA memcpy HtoD]"
"GPU activities",0.376128,0.067904,1,67.904000,67.904000,67.904000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.011876,0.002144,4,0.536000,0.512000,0.544000,"[CUDA memset]"
"API calls",59.300124,131.812880,2,65906.440000,8.730000,131804.150000,"cudaHostAlloc"
"API calls",29.555997,65.697352,2,32848.676000,1088.787000,64608.565000,"cudaDeviceReset"
"API calls",4.505802,10.015539,230,43.545000,4.731000,66.100000,"cudaDeviceSynchronize"
"API calls",2.295997,5.103563,806,6.331000,4.786000,25.539000,"cudaLaunchKernel"
"API calls",1.118536,2.486293,230,10.809000,10.250000,13.420000,"cudaMemcpyAsync"
"API calls",0.706782,1.571041,238,6.601000,5.188000,93.333000,"cudaMalloc"
"API calls",0.679545,1.510499,121,12.483000,8.210000,135.056000,"cudaMemcpy"
"API calls",0.513434,1.141265,238,4.795000,0.516000,26.355000,"cudaFree"
"API calls",0.505444,1.123505,460,2.442000,2.165000,8.798000,"cudaFuncGetAttributes"
"API calls",0.160233,0.356167,1,356.167000,356.167000,356.167000,"cuDeviceTotalMem"
"API calls",0.153185,0.340502,230,1.480000,1.352000,2.238000,"cudaStreamSynchronize"
"API calls",0.136373,0.303131,97,3.125000,0.333000,125.296000,"cuDeviceGetAttribute"
"API calls",0.119771,0.266229,460,0.578000,0.458000,1.211000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.073791,0.164023,460,0.356000,0.280000,0.730000,"cudaDeviceGetAttribute"
"API calls",0.073188,0.162684,460,0.353000,0.274000,0.943000,"cudaGetDevice"
"API calls",0.028280,0.062861,460,0.136000,0.099000,0.238000,"cudaPeekAtLastError"
"API calls",0.027942,0.062109,1,62.109000,62.109000,62.109000,"cuDeviceGetName"
"API calls",0.024305,0.054025,4,13.506000,5.408000,34.188000,"cudaMemset"
"API calls",0.015751,0.035011,230,0.152000,0.124000,0.273000,"cudaGetLastError"
"API calls",0.002420,0.005379,1,5.379000,5.379000,5.379000,"cuDeviceGetPCIBusId"
"API calls",0.001983,0.004408,3,1.469000,0.496000,3.262000,"cuDeviceGetCount"
"API calls",0.000844,0.001877,2,0.938000,0.382000,1.495000,"cuDeviceGet"
"API calls",0.000274,0.000608,1,0.608000,0.608000,0.608000,"cuDeviceGetUuid"
