"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",55.438691,25.749632,177,145.478000,141.921000,150.049000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",14.173133,6.583001,177,37.192000,36.768000,37.601000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.294815,5.710578,177,32.263000,31.104000,32.896000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",5.766059,2.678164,177,15.130000,15.008000,15.584000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.507404,2.093556,177,11.828000,11.392000,14.592000,"[CUDA memcpy DtoD]"
"GPU activities",3.449681,1.602275,177,9.052000,8.416000,15.393000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.258041,0.584323,177,3.301000,2.976000,10.048000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.113772,0.517314,357,1.449000,0.768000,95.904000,"[CUDA memcpy DtoH]"
"GPU activities",0.922039,0.428260,177,2.419000,2.048000,14.144000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.703705,0.326850,3,108.950000,32.160000,198.497000,"[CUDA memcpy HtoD]"
"GPU activities",0.146474,0.068033,1,68.033000,68.033000,68.033000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.113953,0.052928,2,26.464000,25.728000,27.200000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.112231,0.052128,2,26.064000,25.760000,26.368000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",82.758969,567.084127,2,283542.063000,8.091000,567076.036000,"cudaHostAlloc"
"API calls",8.979824,61.531886,1,61531.886000,61531.886000,61531.886000,"cudaDeviceReset"
"API calls",5.078983,34.802397,354,98.311000,21.397000,162.998000,"cudaDeviceSynchronize"
"API calls",1.078166,7.387848,1244,5.938000,3.773000,26.379000,"cudaLaunchKernel"
"API calls",0.531767,3.643794,354,10.293000,8.805000,29.030000,"cudaMemcpyAsync"
"API calls",0.343735,2.355356,183,12.870000,6.860000,319.649000,"cudaMemcpy"
"API calls",0.340937,2.336180,362,6.453000,4.428000,82.761000,"cudaMalloc"
"API calls",0.239944,1.644152,362,4.541000,0.433000,28.413000,"cudaFree"
"API calls",0.236711,1.621999,708,2.290000,1.887000,24.831000,"cudaFuncGetAttributes"
"API calls",0.110421,0.756633,1,756.633000,756.633000,756.633000,"cuDeviceGetName"
"API calls",0.072619,0.497601,354,1.405000,1.194000,14.339000,"cudaStreamSynchronize"
"API calls",0.060514,0.414657,708,0.585000,0.381000,18.725000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.043518,0.298196,97,3.074000,0.137000,178.118000,"cuDeviceGetAttribute"
"API calls",0.034772,0.238265,708,0.336000,0.239000,0.685000,"cudaDeviceGetAttribute"
"API calls",0.034703,0.237791,708,0.335000,0.250000,1.028000,"cudaGetDevice"
"API calls",0.025358,0.173759,1,173.759000,173.759000,173.759000,"cuDeviceTotalMem"
"API calls",0.020067,0.137506,708,0.194000,0.122000,18.291000,"cudaPeekAtLastError"
"API calls",0.008252,0.056545,354,0.159000,0.130000,0.579000,"cudaGetLastError"
"API calls",0.000363,0.002488,1,2.488000,2.488000,2.488000,"cuDeviceGetPCIBusId"
"API calls",0.000244,0.001675,3,0.558000,0.134000,1.301000,"cuDeviceGetCount"
"API calls",0.000097,0.000662,2,0.331000,0.152000,0.510000,"cuDeviceGet"
"API calls",0.000037,0.000251,1,0.251000,0.251000,0.251000,"cuDeviceGetUuid"
