"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",46.608217,12.642683,111,113.898000,111.777000,115.841000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",15.007256,4.070784,111,36.673000,36.193000,37.441000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.238651,3.591042,111,32.351000,30.785000,33.792000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",8.105436,2.198635,111,19.807000,19.264000,20.384000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",6.191594,1.679497,111,15.130000,14.880000,15.488000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.466619,1.211590,111,10.915000,10.464000,12.832000,"[CUDA memcpy DtoD]"
"GPU activities",2.259495,0.612898,111,5.521000,2.752000,262.306000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.567127,0.425090,225,1.889000,0.768000,99.105000,"[CUDA memcpy DtoH]"
"GPU activities",1.135469,0.308001,111,2.774000,2.176000,14.912000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.837594,0.227201,3,75.733000,32.256000,130.785000,"[CUDA memcpy HtoD]"
"GPU activities",0.196893,0.053408,1,53.408000,53.408000,53.408000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.194415,0.052736,2,26.368000,25.600000,27.136000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.191234,0.051873,2,25.936000,25.536000,26.337000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",84.976281,529.901189,2,264950.594000,9.260000,529891.929000,"cudaHostAlloc"
"API calls",9.559276,59.610416,1,59610.416000,59610.416000,59610.416000,"cudaDeviceReset"
"API calls",3.295461,20.550073,222,92.567000,35.521000,324.506000,"cudaDeviceSynchronize"
"API calls",0.698771,4.357444,782,5.572000,3.900000,25.310000,"cudaLaunchKernel"
"API calls",0.392213,2.445788,222,11.017000,9.018000,32.028000,"cudaMemcpyAsync"
"API calls",0.288549,1.799357,117,15.379000,7.932000,246.387000,"cudaMemcpy"
"API calls",0.251046,1.565492,230,6.806000,4.441000,120.914000,"cudaMalloc"
"API calls",0.172408,1.075112,230,4.674000,0.401000,22.612000,"cudaFree"
"API calls",0.163189,1.017626,444,2.291000,1.978000,20.326000,"cudaFuncGetAttributes"
"API calls",0.046195,0.288069,222,1.297000,1.121000,13.769000,"cudaStreamSynchronize"
"API calls",0.041290,0.257479,444,0.579000,0.372000,18.823000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.026998,0.168358,444,0.379000,0.268000,13.004000,"cudaGetDevice"
"API calls",0.023765,0.148195,444,0.333000,0.223000,0.804000,"cudaDeviceGetAttribute"
"API calls",0.021705,0.135351,97,1.395000,0.124000,61.603000,"cuDeviceGetAttribute"
"API calls",0.020659,0.128827,1,128.827000,128.827000,128.827000,"cuDeviceTotalMem"
"API calls",0.009062,0.056508,444,0.127000,0.100000,0.390000,"cudaPeekAtLastError"
"API calls",0.006700,0.041778,1,41.778000,41.778000,41.778000,"cuDeviceGetName"
"API calls",0.005052,0.031505,222,0.141000,0.119000,0.410000,"cudaGetLastError"
"API calls",0.000774,0.004827,1,4.827000,4.827000,4.827000,"cuDeviceGetPCIBusId"
"API calls",0.000421,0.002623,3,0.874000,0.118000,1.741000,"cuDeviceGetCount"
"API calls",0.000147,0.000916,2,0.458000,0.222000,0.694000,"cuDeviceGet"
"API calls",0.000039,0.000241,1,0.241000,0.241000,0.241000,"cuDeviceGetUuid"
