"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",45.024115,16.443285,200,82.216000,79.009000,87.265000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",19.300252,7.048657,200,35.243000,34.624000,37.377000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",16.190660,5.913001,200,29.565000,28.864000,30.656000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",6.109664,2.231314,200,11.156000,10.688000,12.896000,"[CUDA memcpy DtoD]"
"GPU activities",5.954917,2.174799,200,10.873000,10.656000,12.864000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",1.844437,0.673608,200,3.368000,3.008000,14.144000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.702122,0.621633,200,3.108000,2.816000,15.008000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.449087,0.529222,403,1.313000,0.768000,61.697000,"[CUDA memcpy DtoH]"
"GPU activities",1.360325,0.496805,200,2.484000,1.920000,15.008000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",0.633851,0.231489,3,77.163000,32.032000,135.361000,"[CUDA memcpy HtoD]"
"GPU activities",0.145713,0.053216,1,53.216000,53.216000,53.216000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.143350,0.052353,2,26.176000,25.601000,26.752000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.141507,0.051680,2,25.840000,25.632000,26.048000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",80.763956,443.840596,2,221920.298000,8.233000,443832.363000,"cudaHostAlloc"
"API calls",10.701478,58.810274,1,58810.274000,58810.274000,58810.274000,"cudaDeviceReset"
"API calls",4.613808,25.355310,400,63.388000,7.570000,88.318000,"cudaDeviceSynchronize"
"API calls",1.311019,7.204744,1405,5.127000,3.756000,41.172000,"cudaLaunchKernel"
"API calls",0.692152,3.803743,400,9.509000,8.766000,27.619000,"cudaMemcpyAsync"
"API calls",0.453125,2.490159,206,12.088000,7.800000,247.109000,"cudaMemcpy"
"API calls",0.418657,2.300743,408,5.639000,4.398000,96.981000,"cudaMalloc"
"API calls",0.306633,1.685108,800,2.106000,1.875000,30.530000,"cudaFuncGetAttributes"
"API calls",0.303083,1.665603,408,4.082000,0.377000,22.504000,"cudaFree"
"API calls",0.085089,0.467611,400,1.169000,1.084000,2.427000,"cudaStreamSynchronize"
"API calls",0.074571,0.409805,800,0.512000,0.375000,18.565000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.067709,0.372097,1,372.097000,372.097000,372.097000,"cuDeviceTotalMem"
"API calls",0.064013,0.351783,97,3.626000,0.337000,148.281000,"cuDeviceGetAttribute"
"API calls",0.050889,0.279663,800,0.349000,0.233000,13.338000,"cudaDeviceGetAttribute"
"API calls",0.050698,0.278611,800,0.348000,0.253000,12.966000,"cudaGetDevice"
"API calls",0.017451,0.095902,800,0.119000,0.086000,0.224000,"cudaPeekAtLastError"
"API calls",0.012883,0.070798,1,70.798000,70.798000,70.798000,"cuDeviceGetName"
"API calls",0.010723,0.058927,400,0.147000,0.118000,0.245000,"cudaGetLastError"
"API calls",0.000969,0.005326,3,1.775000,0.400000,2.611000,"cuDeviceGetCount"
"API calls",0.000592,0.003251,1,3.251000,3.251000,3.251000,"cuDeviceGetPCIBusId"
"API calls",0.000391,0.002148,2,1.074000,0.620000,1.528000,"cuDeviceGet"
"API calls",0.000112,0.000615,1,0.615000,0.615000,0.615000,"cuDeviceGetUuid"
