"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.236812,12.635669,111,113.834000,111.968000,115.648000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",15.304104,4.093790,111,36.880000,36.384000,37.344000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.348655,3.570715,111,32.168000,31.456000,32.864000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",8.251746,2.207311,111,19.885000,19.264000,20.288000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",6.330743,1.693450,111,15.256000,14.944000,15.424000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.494097,1.202154,111,10.830000,10.528000,12.992000,"[CUDA memcpy DtoD]"
"GPU activities",1.362808,0.364546,225,1.620000,0.768000,61.729000,"[CUDA memcpy DtoH]"
"GPU activities",1.188148,0.317825,111,2.863000,2.784000,5.440000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.043398,0.279105,111,2.514000,2.240000,9.984000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.848285,0.226913,3,75.637000,32.448000,129.857000,"[CUDA memcpy HtoD]"
"GPU activities",0.201453,0.053888,1,53.888000,53.888000,53.888000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.195950,0.052416,2,26.208000,25.632000,26.784000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.193801,0.051841,2,25.920000,25.664000,26.177000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",86.794128,641.481286,2,320740.643000,9.612000,641471.674000,"cudaHostAlloc"
"API calls",8.647560,63.912713,1,63912.713000,63912.713000,63912.713000,"cudaDeviceReset"
"API calls",2.545535,18.813633,222,84.746000,37.543000,136.421000,"cudaDeviceSynchronize"
"API calls",0.672847,4.972902,782,6.359000,4.813000,29.850000,"cudaLaunchKernel"
"API calls",0.320357,2.367707,222,10.665000,9.906000,14.862000,"cudaMemcpyAsync"
"API calls",0.251388,1.857971,117,15.880000,9.361000,239.526000,"cudaMemcpy"
"API calls",0.224880,1.662052,230,7.226000,5.219000,118.696000,"cudaMalloc"
"API calls",0.153906,1.137496,444,2.561000,2.286000,10.485000,"cudaFuncGetAttributes"
"API calls",0.147168,1.087693,230,4.729000,0.517000,8.725000,"cudaFree"
"API calls",0.058221,0.430304,97,4.436000,0.185000,235.315000,"cuDeviceGetAttribute"
"API calls",0.044915,0.331957,222,1.495000,1.299000,14.691000,"cudaStreamSynchronize"
"API calls",0.036649,0.270864,444,0.610000,0.445000,1.225000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.029160,0.215517,1,215.517000,215.517000,215.517000,"cuDeviceTotalMem"
"API calls",0.023666,0.174908,444,0.393000,0.301000,0.967000,"cudaDeviceGetAttribute"
"API calls",0.023234,0.171721,444,0.386000,0.301000,1.139000,"cudaGetDevice"
"API calls",0.011272,0.083310,1,83.310000,83.310000,83.310000,"cuDeviceGetName"
"API calls",0.008781,0.064899,444,0.146000,0.120000,0.247000,"cudaPeekAtLastError"
"API calls",0.005252,0.038818,222,0.174000,0.159000,0.258000,"cudaGetLastError"
"API calls",0.000562,0.004153,1,4.153000,4.153000,4.153000,"cuDeviceGetPCIBusId"
"API calls",0.000326,0.002412,3,0.804000,0.201000,1.900000,"cuDeviceGetCount"
"API calls",0.000150,0.001106,2,0.553000,0.196000,0.910000,"cuDeviceGet"
"API calls",0.000043,0.000316,1,0.316000,0.316000,0.316000,"cuDeviceGetUuid"
