"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",46.967628,12.856205,111,115.821000,113.345000,117.825000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",14.928263,4.086236,111,36.812000,36.288000,38.112000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",14.251869,3.901090,111,35.144000,34.528000,37.025000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",8.157050,2.232787,111,20.115000,19.713000,20.576000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",6.184942,1.692972,111,15.252000,14.976000,15.553000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.456125,1.219752,111,10.988000,10.592000,12.608000,"[CUDA memcpy DtoD]"
"GPU activities",1.339879,0.366758,225,1.630000,0.768000,61.696000,"[CUDA memcpy DtoH]"
"GPU activities",1.190115,0.325764,111,2.934000,2.528000,6.720000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.108274,0.303362,111,2.732000,2.112000,4.224000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.830268,0.227265,3,75.755000,32.224000,130.433000,"[CUDA memcpy HtoD]"
"GPU activities",0.199094,0.054497,1,54.497000,54.497000,54.497000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.194652,0.053281,2,26.640000,25.792000,27.489000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.191842,0.052512,2,26.256000,25.760000,26.752000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",57.906051,124.112762,2,62056.381000,7.565000,124105.197000,"cudaHostAlloc"
"API calls",26.078371,55.894999,1,55894.999000,55894.999000,55894.999000,"cudaDeviceReset"
"API calls",9.968281,21.365486,222,96.240000,35.320000,491.877000,"cudaDeviceSynchronize"
"API calls",2.003616,4.294445,782,5.491000,3.872000,55.180000,"cudaLaunchKernel"
"API calls",1.041100,2.231438,222,10.051000,8.929000,30.752000,"cudaMemcpyAsync"
"API calls",0.800321,1.715365,117,14.661000,7.850000,254.100000,"cudaMemcpy"
"API calls",0.680443,1.458426,230,6.340000,4.466000,91.047000,"cudaMalloc"
"API calls",0.464869,0.996375,230,4.332000,0.415000,17.736000,"cudaFree"
"API calls",0.459544,0.984962,444,2.218000,1.901000,20.431000,"cudaFuncGetAttributes"
"API calls",0.135416,0.290244,222,1.307000,1.142000,2.487000,"cudaStreamSynchronize"
"API calls",0.110904,0.237705,444,0.535000,0.391000,1.248000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.080063,0.171603,1,171.603000,171.603000,171.603000,"cuDeviceTotalMem"
"API calls",0.072514,0.155422,97,1.602000,0.164000,65.301000,"cuDeviceGetAttribute"
"API calls",0.071700,0.153678,444,0.346000,0.243000,12.796000,"cudaGetDevice"
"API calls",0.066984,0.143569,444,0.323000,0.235000,1.011000,"cudaDeviceGetAttribute"
"API calls",0.027024,0.057922,444,0.130000,0.091000,0.240000,"cudaPeekAtLastError"
"API calls",0.014710,0.031528,1,31.528000,31.528000,31.528000,"cuDeviceGetName"
"API calls",0.014574,0.031237,222,0.140000,0.123000,0.248000,"cudaGetLastError"
"API calls",0.001974,0.004231,1,4.231000,4.231000,4.231000,"cuDeviceGetPCIBusId"
"API calls",0.000911,0.001953,3,0.651000,0.191000,1.523000,"cuDeviceGetCount"
"API calls",0.000480,0.001028,2,0.514000,0.166000,0.862000,"cuDeviceGet"
"API calls",0.000152,0.000326,1,0.326000,0.326000,0.326000,"cuDeviceGetUuid"
