"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",49.166909,20.561884,200,102.809000,101.152000,104.705000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",15.799438,6.607416,200,33.037000,32.545000,33.632000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",14.183880,5.931780,200,29.658000,28.352000,30.240000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",6.390945,2.672730,200,13.363000,13.152000,14.240000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",5.542277,2.317812,200,11.589000,11.168000,14.337000,"[CUDA memcpy DtoD]"
"GPU activities",4.391896,1.836716,200,9.183000,8.800000,9.856000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.402274,0.586439,200,2.932000,2.592000,3.296000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.210124,0.506081,403,1.255000,0.736000,61.632000,"[CUDA memcpy DtoH]"
"GPU activities",1.031306,0.431298,200,2.156000,1.824000,16.256000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.541595,0.226498,3,75.499000,32.064000,130.145000,"[CUDA memcpy HtoD]"
"GPU activities",0.115312,0.048224,1,48.224000,48.224000,48.224000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.112557,0.047072,2,23.536000,23.008000,24.064000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.111488,0.046625,2,23.312000,23.073000,23.552000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",54.793427,132.630045,2,66315.022000,7.731000,132622.314000,"cudaHostAlloc"
"API calls",23.914648,57.886520,1,57886.520000,57886.520000,57886.520000,"cudaDeviceReset"
"API calls",12.404550,30.025793,400,75.064000,10.363000,124.669000,"cudaDeviceSynchronize"
"API calls",3.248045,7.862045,1405,5.595000,4.068000,31.868000,"cudaLaunchKernel"
"API calls",1.582097,3.829540,400,9.573000,8.754000,40.216000,"cudaMemcpyAsync"
"API calls",0.929370,2.249583,408,5.513000,4.222000,81.501000,"cudaMalloc"
"API calls",0.910328,2.203492,206,10.696000,6.973000,230.448000,"cudaMemcpy"
"API calls",0.713956,1.728164,408,4.235000,0.439000,22.571000,"cudaFree"
"API calls",0.706257,1.709528,800,2.136000,1.891000,20.424000,"cudaFuncGetAttributes"
"API calls",0.221298,0.535661,400,1.339000,1.203000,14.173000,"cudaStreamSynchronize"
"API calls",0.172412,0.417332,800,0.521000,0.356000,13.370000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.104935,0.254000,800,0.317000,0.223000,18.315000,"cudaDeviceGetAttribute"
"API calls",0.103973,0.251671,800,0.314000,0.242000,0.889000,"cudaGetDevice"
"API calls",0.057651,0.139546,1,139.546000,139.546000,139.546000,"cuDeviceTotalMem"
"API calls",0.053991,0.130687,97,1.347000,0.135000,55.050000,"cuDeviceGetAttribute"
"API calls",0.038490,0.093168,800,0.116000,0.084000,0.274000,"cudaPeekAtLastError"
"API calls",0.032296,0.078174,400,0.195000,0.142000,12.909000,"cudaGetLastError"
"API calls",0.010063,0.024358,1,24.358000,24.358000,24.358000,"cuDeviceGetName"
"API calls",0.001403,0.003395,1,3.395000,3.395000,3.395000,"cuDeviceGetPCIBusId"
"API calls",0.000444,0.001075,3,0.358000,0.135000,0.733000,"cuDeviceGetCount"
"API calls",0.000268,0.000649,2,0.324000,0.152000,0.497000,"cuDeviceGet"
"API calls",0.000098,0.000238,1,0.238000,0.238000,0.238000,"cuDeviceGetUuid"
