"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",45.870484,15.853231,200,79.266000,77.601000,84.000000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",18.707266,6.465391,200,32.326000,31.264000,32.992000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",16.841826,5.820679,200,29.103000,28.481000,30.080000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",6.748207,2.332238,200,11.661000,11.136000,13.376000,"[CUDA memcpy DtoD]"
"GPU activities",5.234179,1.808977,200,9.044000,8.480000,14.624000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.477475,0.510628,200,2.553000,2.240000,3.968000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.470901,0.508356,403,1.261000,0.768000,61.792000,"[CUDA memcpy DtoH]"
"GPU activities",1.442198,0.498436,200,2.492000,2.144000,13.377000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.095167,0.378499,200,1.892000,1.600000,2.816000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",0.656934,0.227042,3,75.680000,32.320000,130.177000,"[CUDA memcpy HtoD]"
"GPU activities",0.153700,0.053120,1,53.120000,53.120000,53.120000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.151756,0.052448,2,26.224000,25.536000,26.912000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.149907,0.051809,2,25.904000,25.761000,26.048000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",77.912809,370.293284,2,185146.642000,8.025000,370285.259000,"cudaHostAlloc"
"API calls",12.718765,60.447996,1,60447.996000,60447.996000,60447.996000,"cudaDeviceReset"
"API calls",4.855479,23.076451,400,57.691000,25.034000,85.330000,"cudaDeviceSynchronize"
"API calls",1.565062,7.438212,1405,5.294000,3.753000,24.924000,"cudaLaunchKernel"
"API calls",0.818314,3.889171,400,9.722000,8.994000,32.538000,"cudaMemcpyAsync"
"API calls",0.462349,2.197391,408,5.385000,4.361000,82.824000,"cudaMalloc"
"API calls",0.460696,2.189534,206,10.628000,6.949000,248.851000,"cudaMemcpy"
"API calls",0.367060,1.744511,800,2.180000,1.982000,20.532000,"cudaFuncGetAttributes"
"API calls",0.353370,1.679446,408,4.116000,0.389000,16.843000,"cudaFree"
"API calls",0.106282,0.505124,400,1.262000,1.086000,19.339000,"cudaStreamSynchronize"
"API calls",0.090054,0.427995,97,4.412000,0.189000,235.623000,"cuDeviceGetAttribute"
"API calls",0.084618,0.402161,800,0.502000,0.382000,4.551000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.054744,0.260181,800,0.325000,0.245000,13.153000,"cudaGetDevice"
"API calls",0.051019,0.242475,800,0.303000,0.225000,0.720000,"cudaDeviceGetAttribute"
"API calls",0.048868,0.232255,1,232.255000,232.255000,232.255000,"cuDeviceTotalMem"
"API calls",0.019893,0.094544,800,0.118000,0.090000,0.310000,"cudaPeekAtLastError"
"API calls",0.017839,0.084784,1,84.784000,84.784000,84.784000,"cuDeviceGetName"
"API calls",0.010948,0.052033,400,0.130000,0.115000,0.320000,"cudaGetLastError"
"API calls",0.000969,0.004607,1,4.607000,4.607000,4.607000,"cuDeviceGetPCIBusId"
"API calls",0.000553,0.002630,3,0.876000,0.196000,2.141000,"cuDeviceGetCount"
"API calls",0.000238,0.001131,2,0.565000,0.219000,0.912000,"cuDeviceGet"
"API calls",0.000070,0.000334,1,0.334000,0.334000,0.334000,"cuDeviceGetUuid"
