"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.185477,12.640280,111,113.876000,111.713000,115.457000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",15.260871,4.088158,111,36.830000,36.384000,37.216000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.357106,3.578168,111,32.235000,31.584000,32.992000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",8.107047,2.171756,111,19.565000,19.072000,20.064000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",6.220618,1.666410,111,15.012000,14.816000,15.328000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.556612,1.220648,111,10.996000,10.560000,12.448000,"[CUDA memcpy DtoD]"
"GPU activities",1.367158,0.366241,225,1.627000,0.768000,61.632000,"[CUDA memcpy DtoH]"
"GPU activities",1.269205,0.340001,111,3.063000,2.784000,7.872000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.225481,0.328288,111,2.957000,2.624000,3.936000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.857450,0.229698,3,76.566000,32.449000,132.801000,"[CUDA memcpy HtoD]"
"GPU activities",0.201042,0.053856,1,53.856000,53.856000,53.856000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.196148,0.052545,2,26.272000,25.568000,26.977000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.195786,0.052448,2,26.224000,26.112000,26.336000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",84.864542,525.280513,2,262640.256000,8.406000,525272.107000,"cudaHostAlloc"
"API calls",9.810307,60.722217,1,60722.217000,60722.217000,60722.217000,"cudaDeviceReset"
"API calls",3.260415,20.180777,222,90.904000,28.907000,131.737000,"cudaDeviceSynchronize"
"API calls",0.657769,4.071350,782,5.206000,3.828000,31.401000,"cudaLaunchKernel"
"API calls",0.349353,2.162370,222,9.740000,9.082000,28.960000,"cudaMemcpyAsync"
"API calls",0.277159,1.715510,117,14.662000,8.036000,247.274000,"cudaMemcpy"
"API calls",0.274354,1.698148,230,7.383000,4.594000,137.582000,"cudaMalloc"
"API calls",0.159365,0.986413,230,4.288000,0.403000,17.215000,"cudaFree"
"API calls",0.152914,0.946481,444,2.131000,1.930000,14.832000,"cudaFuncGetAttributes"
"API calls",0.042168,0.261005,222,1.175000,1.031000,13.895000,"cudaStreamSynchronize"
"API calls",0.034492,0.213490,444,0.480000,0.373000,1.410000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.024148,0.149469,444,0.336000,0.276000,1.081000,"cudaGetDevice"
"API calls",0.023988,0.148475,1,148.475000,148.475000,148.475000,"cuDeviceTotalMem"
"API calls",0.023148,0.143278,444,0.322000,0.234000,0.709000,"cudaDeviceGetAttribute"
"API calls",0.022223,0.137554,97,1.418000,0.138000,58.624000,"cuDeviceGetAttribute"
"API calls",0.011364,0.070340,444,0.158000,0.102000,12.833000,"cudaPeekAtLastError"
"API calls",0.005909,0.036572,1,36.572000,36.572000,36.572000,"cuDeviceGetName"
"API calls",0.005442,0.033681,222,0.151000,0.132000,0.244000,"cudaGetLastError"
"API calls",0.000411,0.002547,1,2.547000,2.547000,2.547000,"cuDeviceGetPCIBusId"
"API calls",0.000345,0.002138,3,0.712000,0.158000,1.702000,"cuDeviceGetCount"
"API calls",0.000144,0.000889,2,0.444000,0.164000,0.725000,"cuDeviceGet"
"API calls",0.000041,0.000255,1,0.255000,0.255000,0.255000,"cuDeviceGetUuid"
