"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",43.321300,7.277488,118,61.673000,60.673000,63.169000,"void part_spmv<float>(float*, float*, float*, int*, int*, bool*, unsigned int)"
"GPU activities",20.168913,3.388149,118,28.713000,28.256000,29.152000,"void part_compute_error<float>(float*, float*, float*, bool*, unsigned int)"
"GPU activities",18.883701,3.172248,118,26.883000,26.432000,27.296000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",5.642523,0.947880,118,8.032000,7.904000,8.288000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<bool>, thrust::device_ptr<float>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.746114,0.461316,118,3.909000,3.776000,4.160000,"[CUDA memcpy DtoD]"
"GPU activities",2.715427,0.456161,118,3.865000,3.712000,11.552000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",1.927588,0.323813,118,2.744000,2.560000,5.792000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.679554,0.282146,118,2.391000,2.016000,12.288000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.625074,0.272994,239,1.142000,0.672000,31.296000,"[CUDA memcpy DtoH]"
"GPU activities",0.958928,0.161089,3,53.696000,32.193000,64.704000,"[CUDA memcpy HtoD]"
"GPU activities",0.317736,0.053376,1,53.376000,53.376000,53.376000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.013144,0.002208,4,0.552000,0.544000,0.576000,"[CUDA memset]"
"API calls",81.880330,365.156663,2,182578.331000,7.789000,365148.874000,"cudaHostAlloc"
"API calls",12.975082,57.864176,2,28932.088000,502.505000,57361.671000,"cudaDeviceReset"
"API calls",2.337135,10.422778,236,44.164000,4.727000,62.820000,"cudaDeviceSynchronize"
"API calls",0.933649,4.163735,827,5.034000,3.775000,24.835000,"cudaLaunchKernel"
"API calls",0.497566,2.218966,236,9.402000,8.874000,21.497000,"cudaMemcpyAsync"
"API calls",0.323054,1.440704,124,11.618000,8.006000,125.647000,"cudaMemcpy"
"API calls",0.299949,1.337664,244,5.482000,4.116000,82.777000,"cudaMalloc"
"API calls",0.236664,1.055438,244,4.325000,0.383000,23.087000,"cudaFree"
"API calls",0.226458,1.009922,472,2.139000,1.995000,5.791000,"cudaFuncGetAttributes"
"API calls",0.062432,0.278424,236,1.179000,1.103000,2.030000,"cudaStreamSynchronize"
"API calls",0.050924,0.227104,472,0.481000,0.384000,1.070000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.035482,0.158235,1,158.235000,158.235000,158.235000,"cuDeviceTotalMem"
"API calls",0.034994,0.156060,97,1.608000,0.141000,68.911000,"cuDeviceGetAttribute"
"API calls",0.034136,0.152235,472,0.322000,0.255000,0.998000,"cudaGetDevice"
"API calls",0.031795,0.141796,472,0.300000,0.230000,0.751000,"cudaDeviceGetAttribute"
"API calls",0.013990,0.062389,472,0.132000,0.101000,0.250000,"cudaPeekAtLastError"
"API calls",0.008659,0.038618,236,0.163000,0.138000,0.271000,"cudaGetLastError"
"API calls",0.008367,0.037313,1,37.313000,37.313000,37.313000,"cuDeviceGetName"
"API calls",0.008122,0.036222,4,9.055000,4.207000,20.441000,"cudaMemset"
"API calls",0.000552,0.002460,1,2.460000,2.460000,2.460000,"cuDeviceGetPCIBusId"
"API calls",0.000435,0.001940,3,0.646000,0.165000,1.533000,"cuDeviceGetCount"
"API calls",0.000160,0.000714,2,0.357000,0.161000,0.553000,"cuDeviceGet"
"API calls",0.000064,0.000285,1,0.285000,0.285000,0.285000,"cuDeviceGetUuid"
