"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",43.060904,7.100691,118,60.175000,59.361000,61.248000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",19.350281,3.190838,118,27.041000,26.528000,27.552000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",18.873868,3.112278,118,26.375000,25.792000,26.977000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.746695,0.947623,118,8.030000,7.808000,8.256000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",3.083807,0.508516,118,4.309000,4.032000,4.800000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",2.789996,0.460067,118,3.898000,3.840000,4.224000,"[CUDA memcpy DtoD]"
"GPU activities",2.208215,0.364132,118,3.085000,2.784000,9.344000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.915175,0.315810,118,2.676000,2.272000,3.584000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.658435,0.273474,239,1.144000,0.672000,31.233000,"[CUDA memcpy DtoH]"
"GPU activities",0.971463,0.160193,3,53.397000,32.128000,64.257000,"[CUDA memcpy HtoD]"
"GPU activities",0.328159,0.054113,1,54.113000,54.113000,54.113000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.013002,0.002144,4,0.536000,0.512000,0.544000,"[CUDA memset]"
"API calls",61.531414,137.263302,2,68631.651000,9.548000,137253.754000,"cudaHostAlloc"
"API calls",27.864975,62.160745,2,31080.372000,407.334000,61753.411000,"cudaDeviceReset"
"API calls",3.981161,8.881110,236,37.631000,13.350000,59.254000,"cudaDeviceSynchronize"
"API calls",2.323038,5.182196,827,6.266000,4.930000,22.188000,"cudaLaunchKernel"
"API calls",1.131620,2.524399,236,10.696000,9.918000,23.694000,"cudaMemcpyAsync"
"API calls",0.736784,1.643607,124,13.254000,9.627000,110.638000,"cudaMemcpy"
"API calls",0.694770,1.549881,244,6.351000,4.834000,97.545000,"cudaMalloc"
"API calls",0.535859,1.195386,472,2.532000,2.269000,15.888000,"cudaFuncGetAttributes"
"API calls",0.528275,1.178467,244,4.829000,0.517000,18.218000,"cudaFree"
"API calls",0.175208,0.390851,236,1.656000,1.550000,4.315000,"cudaStreamSynchronize"
"API calls",0.123978,0.276569,472,0.585000,0.464000,1.361000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.077626,0.173166,472,0.366000,0.277000,0.930000,"cudaGetDevice"
"API calls",0.075728,0.168932,472,0.357000,0.277000,2.856000,"cudaDeviceGetAttribute"
"API calls",0.067615,0.150834,1,150.834000,150.834000,150.834000,"cuDeviceTotalMem"
"API calls",0.061703,0.137647,97,1.419000,0.121000,58.823000,"cuDeviceGetAttribute"
"API calls",0.034847,0.077736,472,0.164000,0.125000,0.232000,"cudaPeekAtLastError"
"API calls",0.019826,0.044228,4,11.057000,5.354000,24.914000,"cudaMemset"
"API calls",0.019062,0.042524,236,0.180000,0.160000,0.248000,"cudaGetLastError"
"API calls",0.013016,0.029035,1,29.035000,29.035000,29.035000,"cuDeviceGetName"
"API calls",0.001906,0.004251,1,4.251000,4.251000,4.251000,"cuDeviceGetPCIBusId"
"API calls",0.001034,0.002307,3,0.769000,0.126000,1.295000,"cuDeviceGetCount"
"API calls",0.000464,0.001035,2,0.517000,0.230000,0.805000,"cuDeviceGet"
"API calls",0.000093,0.000207,1,0.207000,0.207000,0.207000,"cuDeviceGetUuid"
