"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",42.987247,7.306955,118,61.923000,60.737000,62.848000,"void part_spmv<float>(float*, float*, float*, int*, int*, bool*, unsigned int)"
"GPU activities",19.957395,3.392350,118,28.748000,28.224000,29.376000,"void part_compute_error<float>(float*, float*, float*, bool*, unsigned int)"
"GPU activities",18.737154,3.184934,118,26.990000,26.528000,27.489000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",5.690695,0.967302,118,8.197000,8.032000,8.384000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.939112,0.499589,118,4.233000,3.872000,5.248000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",2.725427,0.463267,118,3.925000,3.872000,4.192000,"[CUDA memcpy DtoD]"
"GPU activities",2.133738,0.362692,118,3.073000,2.753000,3.552000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.941145,0.329955,118,2.796000,2.272000,5.248000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.601704,0.272257,239,1.139000,0.672000,31.200000,"[CUDA memcpy DtoH]"
"GPU activities",0.948084,0.161155,3,53.718000,32.225000,64.705000,"[CUDA memcpy HtoD]"
"GPU activities",0.326063,0.055424,1,55.424000,55.424000,55.424000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.012237,0.002080,4,0.520000,0.512000,0.544000,"[CUDA memset]"
"API calls",59.822968,136.245279,2,68122.639000,9.469000,136235.810000,"cudaHostAlloc"
"API calls",29.638926,67.501895,2,33750.947000,749.015000,66752.880000,"cudaDeviceReset"
"API calls",4.099724,9.337017,236,39.563000,9.754000,49.797000,"cudaDeviceSynchronize"
"API calls",2.246565,5.116495,827,6.186000,4.802000,28.931000,"cudaLaunchKernel"
"API calls",1.070494,2.438023,236,10.330000,9.711000,12.905000,"cudaMemcpyAsync"
"API calls",0.696644,1.586588,124,12.795000,9.025000,117.498000,"cudaMemcpy"
"API calls",0.670523,1.527100,244,6.258000,4.957000,99.594000,"cudaMalloc"
"API calls",0.526483,1.199051,472,2.540000,2.233000,23.886000,"cudaFuncGetAttributes"
"API calls",0.488092,1.111616,244,4.555000,0.553000,10.214000,"cudaFree"
"API calls",0.152857,0.348127,236,1.475000,1.333000,2.954000,"cudaStreamSynchronize"
"API calls",0.133250,0.303474,472,0.642000,0.444000,21.987000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.112209,0.255552,1,255.552000,255.552000,255.552000,"cuDeviceTotalMem"
"API calls",0.103578,0.235896,97,2.431000,0.252000,99.688000,"cuDeviceGetAttribute"
"API calls",0.073988,0.168505,472,0.357000,0.276000,1.108000,"cudaGetDevice"
"API calls",0.073631,0.167693,472,0.355000,0.266000,0.833000,"cudaDeviceGetAttribute"
"API calls",0.028632,0.065208,472,0.138000,0.103000,0.283000,"cudaPeekAtLastError"
"API calls",0.019629,0.044705,4,11.176000,5.592000,25.048000,"cudaMemset"
"API calls",0.019540,0.044502,1,44.502000,44.502000,44.502000,"cuDeviceGetName"
"API calls",0.017263,0.039317,236,0.166000,0.140000,0.252000,"cudaGetLastError"
"API calls",0.002497,0.005686,1,5.686000,5.686000,5.686000,"cuDeviceGetPCIBusId"
"API calls",0.001632,0.003717,3,1.239000,0.231000,2.415000,"cuDeviceGetCount"
"API calls",0.000664,0.001513,2,0.756000,0.382000,1.131000,"cuDeviceGet"
"API calls",0.000211,0.000481,1,0.481000,0.481000,0.481000,"cuDeviceGetUuid"
