"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",44.248578,7.267225,118,61.586000,59.776000,63.425000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",19.299272,3.169642,118,26.861000,26.400000,28.704000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",19.183031,3.150551,118,26.699000,26.240000,28.608000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.731466,0.941315,118,7.977000,7.712000,8.512000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.739302,0.449893,118,3.812000,3.712000,4.192000,"[CUDA memcpy DtoD]"
"GPU activities",2.460284,0.404068,118,3.424000,2.176000,104.897000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.899726,0.312004,118,2.644000,2.368000,3.968000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, float*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.657148,0.272164,239,1.138000,0.672000,31.201000,"[CUDA memcpy DtoH]"
"GPU activities",1.397425,0.229508,118,1.944000,1.568000,3.200000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.034028,0.169825,3,56.608000,32.225000,73.120000,"[CUDA memcpy HtoD]"
"GPU activities",0.336686,0.055296,1,55.296000,55.296000,55.296000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.013054,0.002144,4,0.536000,0.512000,0.544000,"[CUDA memset]"
"API calls",62.694524,140.537960,2,70268.980000,9.875000,140528.085000,"cudaHostAlloc"
"API calls",26.937090,60.383004,2,30191.502000,723.246000,59659.758000,"cudaDeviceReset"
"API calls",3.498391,7.842099,236,33.229000,5.686000,148.375000,"cudaDeviceSynchronize"
"API calls",2.479642,5.558441,827,6.721000,5.000000,13.086000,"cudaLaunchKernel"
"API calls",1.173460,2.630464,236,11.146000,10.352000,25.330000,"cudaMemcpyAsync"
"API calls",0.685330,1.536256,244,6.296000,4.884000,100.548000,"cudaMalloc"
"API calls",0.669766,1.501367,124,12.107000,8.478000,101.920000,"cudaMemcpy"
"API calls",0.550690,1.234444,244,5.059000,0.513000,9.054000,"cudaFree"
"API calls",0.538748,1.207675,472,2.558000,2.273000,4.253000,"cudaFuncGetAttributes"
"API calls",0.175286,0.392927,236,1.664000,1.519000,2.909000,"cudaStreamSynchronize"
"API calls",0.128783,0.288684,472,0.611000,0.466000,1.227000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.106241,0.238153,1,238.153000,238.153000,238.153000,"cuDeviceTotalMem"
"API calls",0.092585,0.207541,97,2.139000,0.223000,86.194000,"cuDeviceGetAttribute"
"API calls",0.085599,0.191882,472,0.406000,0.263000,20.127000,"cudaDeviceGetAttribute"
"API calls",0.079034,0.177165,472,0.375000,0.289000,1.009000,"cudaGetDevice"
"API calls",0.032507,0.072869,472,0.154000,0.108000,0.280000,"cudaPeekAtLastError"
"API calls",0.026342,0.059048,4,14.762000,5.202000,39.989000,"cudaMemset"
"API calls",0.022178,0.049714,1,49.714000,49.714000,49.714000,"cuDeviceGetName"
"API calls",0.019527,0.043772,236,0.185000,0.143000,0.323000,"cudaGetLastError"
"API calls",0.002347,0.005261,1,5.261000,5.261000,5.261000,"cuDeviceGetPCIBusId"
"API calls",0.001216,0.002726,3,0.908000,0.275000,2.107000,"cuDeviceGetCount"
"API calls",0.000534,0.001196,2,0.598000,0.261000,0.935000,"cuDeviceGet"
"API calls",0.000181,0.000406,1,0.406000,0.406000,0.406000,"cuDeviceGetUuid"
