"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",43.881638,7.193326,118,60.960000,60.257000,62.849000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",19.360728,3.173720,118,26.895000,26.432000,27.360000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",19.020867,3.118008,118,26.423000,26.112000,26.817000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",6.028166,0.988171,118,8.374000,8.224000,8.480000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<bool>, thrust::device_ptr<float>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.922514,0.479075,118,4.059000,3.808000,4.160000,"[CUDA memcpy DtoD]"
"GPU activities",2.076075,0.340322,118,2.884000,2.432000,9.664000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, float*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.753789,0.287491,118,2.436000,2.016000,14.272000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.711221,0.280513,118,2.377000,1.920000,12.640000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.674717,0.274529,239,1.148000,0.672000,31.201000,"[CUDA memcpy DtoH]"
"GPU activities",1.230814,0.201762,3,67.254000,32.192000,105.153000,"[CUDA memcpy HtoD]"
"GPU activities",0.325611,0.053376,1,53.376000,53.376000,53.376000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.013860,0.002272,4,0.568000,0.544000,0.608000,"[CUDA memset]"
"API calls",81.174040,360.497539,2,180248.769000,7.493000,360490.046000,"cudaHostAlloc"
"API calls",13.658012,60.655841,2,30327.920000,1395.350000,59260.491000,"cudaDeviceReset"
"API calls",2.093954,9.299344,236,39.404000,2.781000,55.070000,"cudaDeviceSynchronize"
"API calls",0.981087,4.357051,827,5.268000,3.798000,24.525000,"cudaLaunchKernel"
"API calls",0.525656,2.334460,236,9.891000,9.202000,27.946000,"cudaMemcpyAsync"
"API calls",0.310172,1.377488,124,11.108000,7.042000,100.973000,"cudaMemcpy"
"API calls",0.288760,1.282395,244,5.255000,3.930000,83.814000,"cudaMalloc"
"API calls",0.264398,1.174202,472,2.487000,2.151000,33.517000,"cudaFuncGetAttributes"
"API calls",0.228482,1.014700,244,4.158000,0.411000,22.833000,"cudaFree"
"API calls",0.112221,0.498380,1,498.380000,498.380000,498.380000,"cuDeviceTotalMem"
"API calls",0.102152,0.453663,97,4.676000,0.440000,188.763000,"cuDeviceGetAttribute"
"API calls",0.069490,0.308607,236,1.307000,1.119000,19.826000,"cudaStreamSynchronize"
"API calls",0.056163,0.249424,472,0.528000,0.404000,13.224000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.035022,0.155533,472,0.329000,0.250000,0.874000,"cudaGetDevice"
"API calls",0.034509,0.153258,472,0.324000,0.240000,0.841000,"cudaDeviceGetAttribute"
"API calls",0.023188,0.102980,4,25.745000,4.626000,50.466000,"cudaMemset"
"API calls",0.019355,0.085957,1,85.957000,85.957000,85.957000,"cuDeviceGetName"
"API calls",0.012443,0.055261,472,0.117000,0.091000,0.346000,"cudaPeekAtLastError"
"API calls",0.008283,0.036787,236,0.155000,0.141000,0.205000,"cudaGetLastError"
"API calls",0.001168,0.005188,3,1.729000,0.480000,3.981000,"cuDeviceGetCount"
"API calls",0.000697,0.003095,1,3.095000,3.095000,3.095000,"cuDeviceGetPCIBusId"
"API calls",0.000560,0.002485,2,1.242000,0.576000,1.909000,"cuDeviceGet"
"API calls",0.000186,0.000828,1,0.828000,0.828000,0.828000,"cuDeviceGetUuid"
