"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",45.787889,16.257935,200,81.289000,78.081000,85.696000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",18.121949,6.434572,200,32.172000,31.648000,32.833000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",16.612835,5.898730,200,29.493000,28.896000,30.689000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",6.213119,2.206096,200,11.030000,10.720000,12.512000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",6.197254,2.200463,200,11.002000,10.560000,12.737000,"[CUDA memcpy DtoD]"
"GPU activities",1.749120,0.621061,200,3.105000,2.688000,13.696000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.630602,0.578979,200,2.894000,2.464000,15.648000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.428817,0.507331,403,1.258000,0.768000,61.696000,"[CUDA memcpy DtoH]"
"GPU activities",1.173147,0.416550,200,2.082000,1.824000,4.096000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",0.641861,0.227906,3,75.968000,32.256000,131.457000,"[CUDA memcpy HtoD]"
"GPU activities",0.149874,0.053216,1,53.216000,53.216000,53.216000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.148252,0.052640,2,26.320000,25.600000,27.040000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.145281,0.051585,2,25.792000,25.537000,26.048000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",81.014824,438.194627,2,219097.313000,8.002000,438186.625000,"cudaHostAlloc"
"API calls",10.574856,57.197497,1,57197.497000,57197.497000,57197.497000,"cudaDeviceReset"
"API calls",4.439853,24.014366,400,60.035000,6.350000,89.083000,"cudaDeviceSynchronize"
"API calls",1.365958,7.388220,1405,5.258000,3.469000,26.831000,"cudaLaunchKernel"
"API calls",0.713695,3.860249,400,9.650000,9.098000,26.174000,"cudaMemcpyAsync"
"API calls",0.458213,2.478393,206,12.031000,8.152000,248.035000,"cudaMemcpy"
"API calls",0.423830,2.292419,408,5.618000,4.444000,84.035000,"cudaMalloc"
"API calls",0.315160,1.704644,408,4.178000,0.379000,43.189000,"cudaFree"
"API calls",0.312714,1.691412,800,2.114000,1.963000,15.047000,"cudaFuncGetAttributes"
"API calls",0.087910,0.475491,400,1.188000,1.091000,2.367000,"cudaStreamSynchronize"
"API calls",0.078772,0.426063,800,0.532000,0.393000,13.198000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.052641,0.284724,800,0.355000,0.259000,13.030000,"cudaGetDevice"
"API calls",0.048240,0.260920,800,0.326000,0.220000,13.100000,"cudaDeviceGetAttribute"
"API calls",0.037423,0.202416,97,2.086000,0.165000,87.843000,"cuDeviceGetAttribute"
"API calls",0.036432,0.197053,1,197.053000,197.053000,197.053000,"cuDeviceTotalMem"
"API calls",0.019151,0.103584,800,0.129000,0.094000,0.258000,"cudaPeekAtLastError"
"API calls",0.011781,0.063720,400,0.159000,0.122000,7.528000,"cudaGetLastError"
"API calls",0.007443,0.040257,1,40.257000,40.257000,40.257000,"cuDeviceGetName"
"API calls",0.000445,0.002409,3,0.803000,0.174000,1.627000,"cuDeviceGetCount"
"API calls",0.000404,0.002186,1,2.186000,2.186000,2.186000,"cuDeviceGetPCIBusId"
"API calls",0.000195,0.001056,2,0.528000,0.245000,0.811000,"cuDeviceGet"
"API calls",0.000060,0.000326,1,0.326000,0.326000,0.326000,"cuDeviceGetUuid"
