"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.988877,7.542681,59,127.842000,125.505000,129.825000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",13.909041,2.186162,59,37.053000,36.704000,37.441000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.197658,2.074350,59,35.158000,34.656000,36.224000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",7.424123,1.166891,59,19.777000,19.392000,20.192000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.836274,0.917320,59,15.547000,15.232000,16.064000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.103677,0.644998,59,10.932000,10.656000,12.000000,"[CUDA memcpy DtoD]"
"GPU activities",2.761771,0.434083,3,144.694000,31.936000,271.234000,"[CUDA memcpy HtoD]"
"GPU activities",1.784106,0.280418,121,2.317000,0.768000,61.664000,"[CUDA memcpy DtoH]"
"GPU activities",1.081497,0.169985,59,2.881000,2.784000,3.648000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.986820,0.155104,59,2.628000,2.368000,14.016000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.333690,0.052448,2,26.224000,25.664000,26.784000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.328601,0.051648,2,25.824000,25.568000,26.080000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.263864,0.041473,1,41.473000,41.473000,41.473000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",87.431018,536.272305,2,268136.152000,8.469000,536263.836000,"cudaHostAlloc"
"API calls",9.381120,57.540620,1,57540.620000,57540.620000,57540.620000,"cudaDeviceReset"
"API calls",1.862197,11.422086,118,96.797000,32.921000,165.491000,"cudaDeviceSynchronize"
"API calls",0.402782,2.470527,418,5.910000,3.850000,34.394000,"cudaLaunchKernel"
"API calls",0.239583,1.469519,65,22.607000,8.039000,291.784000,"cudaMemcpy"
"API calls",0.200767,1.231436,118,10.435000,9.096000,36.144000,"cudaMemcpyAsync"
"API calls",0.165638,1.015966,126,8.063000,4.618000,126.279000,"cudaMalloc"
"API calls",0.097315,0.596899,236,2.529000,1.939000,20.215000,"cudaFuncGetAttributes"
"API calls",0.091633,0.562048,126,4.460000,0.397000,22.568000,"cudaFree"
"API calls",0.027395,0.168030,118,1.423000,1.033000,14.837000,"cudaStreamSynchronize"
"API calls",0.020029,0.122854,97,1.266000,0.116000,52.022000,"cuDeviceGetAttribute"
"API calls",0.019918,0.122169,1,122.169000,122.169000,122.169000,"cuDeviceTotalMem"
"API calls",0.018813,0.115395,236,0.488000,0.358000,1.229000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.015066,0.092412,236,0.391000,0.230000,18.425000,"cudaDeviceGetAttribute"
"API calls",0.012631,0.077473,236,0.328000,0.238000,1.086000,"cudaGetDevice"
"API calls",0.005377,0.032979,236,0.139000,0.096000,0.218000,"cudaPeekAtLastError"
"API calls",0.004703,0.028845,1,28.845000,28.845000,28.845000,"cuDeviceGetName"
"API calls",0.002785,0.017082,118,0.144000,0.122000,0.322000,"cudaGetLastError"
"API calls",0.000720,0.004414,1,4.414000,4.414000,4.414000,"cuDeviceGetPCIBusId"
"API calls",0.000282,0.001731,3,0.577000,0.175000,1.266000,"cuDeviceGetCount"
"API calls",0.000193,0.001182,2,0.591000,0.230000,0.952000,"cuDeviceGet"
"API calls",0.000036,0.000222,1,0.222000,0.222000,0.222000,"cuDeviceGetUuid"
