"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.877232,7.699806,61,126.226000,124.001000,127.969000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",14.048143,2.259278,61,37.037000,36.449000,37.953000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.386724,1.992082,61,32.657000,32.000000,34.113000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",7.555939,1.215176,61,19.920000,19.456000,20.480000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.987995,0.963013,61,15.787000,15.520000,15.968000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.165779,0.669957,61,10.982000,10.496000,11.969000,"[CUDA memcpy DtoD]"
"GPU activities",2.936708,0.472293,3,157.431000,32.129000,312.227000,"[CUDA memcpy HtoD]"
"GPU activities",1.779648,0.286210,125,2.289000,0.768000,61.697000,"[CUDA memcpy DtoH]"
"GPU activities",1.329566,0.213826,61,3.505000,2.880000,15.776000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.017174,0.163586,61,2.681000,2.176000,9.697000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.331095,0.053248,2,26.624000,26.048000,27.200000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.323341,0.052001,2,26.000000,25.760000,26.241000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.260658,0.041920,1,41.920000,41.920000,41.920000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",60.869191,130.286943,2,65143.471000,8.995000,130277.948000,"cudaHostAlloc"
"API calls",29.105157,62.297887,1,62297.887000,62297.887000,62297.887000,"cudaDeviceReset"
"API calls",5.848029,12.517365,122,102.601000,28.006000,497.029000,"cudaDeviceSynchronize"
"API calls",1.244673,2.664149,432,6.167000,4.019000,28.066000,"cudaLaunchKernel"
"API calls",0.775013,1.658871,67,24.759000,8.158000,413.148000,"cudaMemcpy"
"API calls",0.644111,1.378681,122,11.300000,9.439000,59.696000,"cudaMemcpyAsync"
"API calls",0.592504,1.268221,130,9.755000,4.529000,191.903000,"cudaMalloc"
"API calls",0.269557,0.576971,130,4.438000,0.414000,31.174000,"cudaFree"
"API calls",0.256494,0.549010,244,2.250000,1.973000,14.936000,"cudaFuncGetAttributes"
"API calls",0.080458,0.172216,122,1.411000,1.279000,2.514000,"cudaStreamSynchronize"
"API calls",0.060711,0.129949,1,129.949000,129.949000,129.949000,"cuDeviceTotalMem"
"API calls",0.059954,0.128327,244,0.525000,0.401000,1.407000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.059041,0.126374,244,0.517000,0.256000,18.650000,"cudaGetDevice"
"API calls",0.051756,0.110781,97,1.142000,0.107000,46.976000,"cuDeviceGetAttribute"
"API calls",0.038441,0.082280,244,0.337000,0.254000,0.816000,"cudaDeviceGetAttribute"
"API calls",0.017839,0.038183,1,38.183000,38.183000,38.183000,"cuDeviceGetName"
"API calls",0.015445,0.033059,244,0.135000,0.096000,0.298000,"cudaPeekAtLastError"
"API calls",0.008244,0.017646,122,0.144000,0.118000,0.289000,"cudaGetLastError"
"API calls",0.002280,0.004881,1,4.881000,4.881000,4.881000,"cuDeviceGetPCIBusId"
"API calls",0.000683,0.001462,3,0.487000,0.130000,1.134000,"cuDeviceGetCount"
"API calls",0.000323,0.000692,2,0.346000,0.153000,0.539000,"cuDeviceGet"
"API calls",0.000095,0.000203,1,0.203000,0.203000,0.203000,"cuDeviceGetUuid"
