"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.931219,7.810686,61,128.044000,125.377000,129.953000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",13.918353,2.268081,61,37.181000,36.640000,37.728000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.175086,2.146961,61,35.196000,34.624000,36.481000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",7.439806,1.212362,61,19.874000,19.552000,20.288000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.814019,0.947430,61,15.531000,15.232000,16.032000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.086738,0.665959,61,10.917000,10.560000,11.424000,"[CUDA memcpy DtoD]"
"GPU activities",2.653199,0.432355,3,144.118000,32.160000,269.538000,"[CUDA memcpy HtoD]"
"GPU activities",1.748501,0.284929,125,2.279000,0.800000,61.697000,"[CUDA memcpy DtoH]"
"GPU activities",1.179409,0.192192,61,3.150000,2.688000,3.552000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",1.155262,0.188257,61,3.086000,2.304000,4.128000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.324210,0.052832,2,26.416000,25.888000,26.944000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.318129,0.051841,2,25.920000,25.665000,26.176000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.256069,0.041728,1,41.728000,41.728000,41.728000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",62.337939,143.538205,2,71769.102000,8.746000,143529.459000,"cudaHostAlloc"
"API calls",28.792531,66.297159,1,66297.159000,66297.159000,66297.159000,"cudaDeviceReset"
"API calls",5.109933,11.766040,122,96.442000,44.198000,170.966000,"cudaDeviceSynchronize"
"API calls",1.140226,2.625463,432,6.077000,4.286000,26.820000,"cudaLaunchKernel"
"API calls",0.663906,1.528697,67,22.816000,8.969000,302.587000,"cudaMemcpy"
"API calls",0.560684,1.291021,122,10.582000,10.046000,12.094000,"cudaMemcpyAsync"
"API calls",0.470430,1.083204,130,8.332000,5.046000,102.339000,"cudaMalloc"
"API calls",0.260189,0.599106,130,4.608000,0.754000,12.888000,"cudaFree"
"API calls",0.255094,0.587375,244,2.407000,2.120000,22.696000,"cudaFuncGetAttributes"
"API calls",0.084119,0.193691,1,193.691000,193.691000,193.691000,"cuDeviceTotalMem"
"API calls",0.075866,0.174688,97,1.800000,0.182000,73.360000,"cuDeviceGetAttribute"
"API calls",0.073833,0.170007,122,1.393000,1.284000,2.163000,"cudaStreamSynchronize"
"API calls",0.059677,0.137412,244,0.563000,0.439000,1.265000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.038145,0.087832,244,0.359000,0.276000,1.058000,"cudaGetDevice"
"API calls",0.038037,0.087583,244,0.358000,0.281000,0.738000,"cudaDeviceGetAttribute"
"API calls",0.014518,0.033429,1,33.429000,33.429000,33.429000,"cuDeviceGetName"
"API calls",0.013429,0.030922,244,0.126000,0.097000,0.225000,"cudaPeekAtLastError"
"API calls",0.007997,0.018413,122,0.150000,0.125000,0.631000,"cudaGetLastError"
"API calls",0.001922,0.004426,1,4.426000,4.426000,4.426000,"cuDeviceGetPCIBusId"
"API calls",0.000953,0.002195,3,0.731000,0.215000,1.638000,"cuDeviceGetCount"
"API calls",0.000424,0.000977,2,0.488000,0.234000,0.743000,"cuDeviceGet"
"API calls",0.000147,0.000338,1,0.338000,0.338000,0.338000,"cuDeviceGetUuid"
