"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",51.952594,23.077917,200,115.389000,113.216000,119.489000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",14.678898,6.520529,200,32.602000,32.224000,33.088000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.310229,5.912551,200,29.562000,28.640000,30.240000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",6.433239,2.857716,200,14.288000,14.016000,14.624000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",5.004072,2.222864,200,11.114000,10.784000,12.288000,"[CUDA memcpy DtoD]"
"GPU activities",3.928461,1.745066,200,8.725000,8.256000,9.760000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.258296,0.558949,200,2.794000,2.464000,3.264000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.114936,0.495267,403,1.228000,0.736000,61.632000,"[CUDA memcpy DtoH]"
"GPU activities",1.036489,0.460420,200,2.302000,1.824000,3.104000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.988796,0.439234,3,146.411000,41.088000,268.514000,"[CUDA memcpy HtoD]"
"GPU activities",0.106042,0.047105,2,23.552000,23.008000,24.097000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.103014,0.045760,2,22.880000,22.656000,23.104000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.084933,0.037728,1,37.728000,37.728000,37.728000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",85.040538,668.291138,2,334145.569000,9.861000,668281.277000,"cudaHostAlloc"
"API calls",7.942701,62.417721,1,62417.721000,62417.721000,62417.721000,"cudaDeviceReset"
"API calls",3.757100,29.525170,400,73.812000,28.681000,112.041000,"cudaDeviceSynchronize"
"API calls",1.194456,9.386630,1405,6.680000,4.666000,28.403000,"cudaLaunchKernel"
"API calls",0.547567,4.303053,400,10.757000,10.066000,16.163000,"cudaMemcpyAsync"
"API calls",0.350305,2.752869,206,13.363000,8.465000,292.950000,"cudaMemcpy"
"API calls",0.344113,2.704211,408,6.627000,5.275000,106.833000,"cudaMalloc"
"API calls",0.269629,2.118876,800,2.648000,2.302000,11.968000,"cudaFuncGetAttributes"
"API calls",0.249840,1.963364,408,4.812000,0.522000,9.847000,"cudaFree"
"API calls",0.076479,0.601007,400,1.502000,1.359000,3.045000,"cudaStreamSynchronize"
"API calls",0.060572,0.476003,800,0.595000,0.461000,1.276000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.039792,0.312703,800,0.390000,0.291000,1.103000,"cudaGetDevice"
"API calls",0.038604,0.303372,800,0.379000,0.275000,0.855000,"cudaDeviceGetAttribute"
"API calls",0.028909,0.227180,1,227.180000,227.180000,227.180000,"cuDeviceTotalMem"
"API calls",0.025236,0.198317,97,2.044000,0.219000,82.487000,"cuDeviceGetAttribute"
"API calls",0.018938,0.148827,800,0.186000,0.133000,5.732000,"cudaPeekAtLastError"
"API calls",0.007938,0.062382,400,0.155000,0.135000,0.331000,"cudaGetLastError"
"API calls",0.006230,0.048956,1,48.956000,48.956000,48.956000,"cuDeviceGetName"
"API calls",0.000550,0.004324,1,4.324000,4.324000,4.324000,"cuDeviceGetPCIBusId"
"API calls",0.000293,0.002306,3,0.768000,0.225000,1.734000,"cuDeviceGetCount"
"API calls",0.000165,0.001298,2,0.649000,0.256000,1.042000,"cuDeviceGet"
"API calls",0.000048,0.000376,1,0.376000,0.376000,0.376000,"cuDeviceGetUuid"
