"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",46.096255,15.944045,200,79.720000,78.817000,84.481000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",18.545349,6.414575,200,32.072000,31.552000,33.920000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",16.745438,5.792011,200,28.960000,28.416000,30.305000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",6.660638,2.303821,200,11.519000,11.136000,13.984000,"[CUDA memcpy DtoD]"
"GPU activities",5.274381,1.824334,200,9.121000,8.673000,10.240000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.468233,0.507841,403,1.260000,0.768000,61.664000,"[CUDA memcpy DtoH]"
"GPU activities",1.429286,0.494370,200,2.471000,2.304000,14.400000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.400421,0.484386,200,2.421000,2.304000,4.160000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.257767,0.435044,200,2.175000,1.824000,13.120000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",0.663531,0.229506,3,76.502000,32.225000,132.705000,"[CUDA memcpy HtoD]"
"GPU activities",0.154412,0.053409,1,53.409000,53.409000,53.409000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.152747,0.052833,2,26.416000,25.824000,27.009000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.151541,0.052416,2,26.208000,26.080000,26.336000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"API calls",77.600540,362.872297,2,181436.148000,7.929000,362864.368000,"cudaHostAlloc"
"API calls",12.898956,60.317541,1,60317.541000,60317.541000,60317.541000,"cudaDeviceReset"
"API calls",4.899126,22.909082,400,57.272000,16.941000,85.875000,"cudaDeviceSynchronize"
"API calls",1.583703,7.405642,1405,5.270000,3.543000,40.857000,"cudaLaunchKernel"
"API calls",0.839636,3.926270,400,9.815000,9.142000,33.041000,"cudaMemcpyAsync"
"API calls",0.471195,2.203383,408,5.400000,4.377000,82.832000,"cudaMalloc"
"API calls",0.467105,2.184256,206,10.603000,6.930000,256.899000,"cudaMemcpy"
"API calls",0.396287,1.853099,800,2.316000,2.121000,20.696000,"cudaFuncGetAttributes"
"API calls",0.360082,1.683800,408,4.126000,0.454000,22.787000,"cudaFree"
"API calls",0.102135,0.477601,400,1.194000,1.106000,1.820000,"cudaStreamSynchronize"
"API calls",0.090625,0.423775,800,0.529000,0.417000,1.223000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.067365,0.315009,800,0.393000,0.263000,26.987000,"cudaGetDevice"
"API calls",0.061056,0.285509,97,2.943000,0.122000,169.976000,"cuDeviceGetAttribute"
"API calls",0.059594,0.278672,800,0.348000,0.262000,0.700000,"cudaDeviceGetAttribute"
"API calls",0.043679,0.204248,1,204.248000,204.248000,204.248000,"cuDeviceTotalMem"
"API calls",0.022865,0.106920,800,0.133000,0.111000,0.251000,"cudaPeekAtLastError"
"API calls",0.021248,0.099359,1,99.359000,99.359000,99.359000,"cuDeviceGetName"
"API calls",0.013087,0.061196,400,0.152000,0.135000,0.199000,"cudaGetLastError"
"API calls",0.000919,0.004298,1,4.298000,4.298000,4.298000,"cuDeviceGetPCIBusId"
"API calls",0.000495,0.002313,3,0.771000,0.212000,1.812000,"cuDeviceGetCount"
"API calls",0.000257,0.001203,2,0.601000,0.243000,0.960000,"cuDeviceGet"
"API calls",0.000045,0.000210,1,0.210000,0.210000,0.210000,"cuDeviceGetUuid"
