"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.952435,7.427355,59,125.887000,123.489000,127.745000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",13.991273,2.167109,59,36.730000,36.352000,37.120000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",12.291848,1.903885,59,32.269000,31.520000,32.800000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",7.665173,1.187259,59,20.123000,19.681000,20.416000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.975439,0.925536,59,15.687000,15.456000,15.904000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.246625,0.657760,59,11.148000,10.848000,12.800000,"[CUDA memcpy DtoD]"
"GPU activities",2.828548,0.438114,3,146.038000,32.064000,276.353000,"[CUDA memcpy HtoD]"
"GPU activities",1.871373,0.289857,121,2.395000,0.768000,61.792000,"[CUDA memcpy DtoH]"
"GPU activities",1.238356,0.191809,59,3.251000,2.656000,12.864000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.995390,0.154176,59,2.613000,2.560000,3.424000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",0.339854,0.052640,2,26.320000,25.664000,26.976000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.337381,0.052257,2,26.128000,25.760000,26.497000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.266305,0.041248,1,41.248000,41.248000,41.248000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",86.976159,532.493946,2,266246.973000,8.559000,532485.387000,"cudaHostAlloc"
"API calls",9.847468,60.289133,1,60289.133000,60289.133000,60289.133000,"cudaDeviceReset"
"API calls",1.849689,11.324349,118,95.969000,34.829000,138.916000,"cudaDeviceSynchronize"
"API calls",0.372409,2.279998,418,5.454000,3.890000,25.292000,"cudaLaunchKernel"
"API calls",0.252608,1.546544,65,23.792000,8.012000,298.091000,"cudaMemcpy"
"API calls",0.209453,1.282336,118,10.867000,9.238000,41.378000,"cudaMemcpyAsync"
"API calls",0.157575,0.964724,126,7.656000,4.662000,88.407000,"cudaMalloc"
"API calls",0.092395,0.565672,126,4.489000,0.395000,27.766000,"cudaFree"
"API calls",0.086372,0.528795,236,2.240000,1.926000,14.980000,"cudaFuncGetAttributes"
"API calls",0.032653,0.199913,1,199.913000,199.913000,199.913000,"cuDeviceTotalMem"
"API calls",0.029450,0.180304,97,1.858000,0.189000,75.522000,"cuDeviceGetAttribute"
"API calls",0.027442,0.168007,118,1.423000,1.168000,19.450000,"cudaStreamSynchronize"
"API calls",0.022081,0.135189,236,0.572000,0.378000,18.706000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.014516,0.088871,236,0.376000,0.231000,13.639000,"cudaDeviceGetAttribute"
"API calls",0.013342,0.081681,236,0.346000,0.264000,1.070000,"cudaGetDevice"
"API calls",0.006755,0.041354,1,41.354000,41.354000,41.354000,"cuDeviceGetName"
"API calls",0.005307,0.032492,236,0.137000,0.104000,0.192000,"cudaPeekAtLastError"
"API calls",0.003035,0.018584,118,0.157000,0.137000,0.266000,"cudaGetLastError"
"API calls",0.000706,0.004323,1,4.323000,4.323000,4.323000,"cuDeviceGetPCIBusId"
"API calls",0.000351,0.002151,3,0.717000,0.184000,1.610000,"cuDeviceGetCount"
"API calls",0.000173,0.001058,2,0.529000,0.224000,0.834000,"cuDeviceGet"
"API calls",0.000058,0.000357,1,0.357000,0.357000,0.357000,"cuDeviceGetUuid"
