"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.895695,7.514231,59,127.359000,125.633000,128.993000,"void d_update_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, bool*, int)"
"GPU activities",13.778576,2.161685,59,36.638000,36.289000,37.025000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.255513,2.079623,59,35.247000,34.816000,36.640000,"void d_update_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, bool*, __int64, unsigned int)"
"GPU activities",7.535220,1.182181,59,20.036000,19.616000,20.353000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, __int64*, d_fixed_square_functor>, double*, int, d_fixed_add_functor<__int64>>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::GridEvenShare<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600)"
"GPU activities",5.851847,0.918081,59,15.560000,15.392000,15.872000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.073469,0.639076,59,10.831000,10.400000,11.680000,"[CUDA memcpy DtoD]"
"GPU activities",2.764798,0.433762,3,144.587000,31.904000,271.329000,"[CUDA memcpy HtoD]"
"GPU activities",1.792285,0.281187,121,2.323000,0.768000,61.665000,"[CUDA memcpy DtoH]"
"GPU activities",1.087353,0.170592,59,2.891000,2.176000,4.096000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.033104,0.162081,59,2.747000,2.368000,15.104000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*, double*, int, d_fixed_add_functor<__int64>, double>(int, __int64, d_fixed_add_functor<__int64>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, d_fixed_add_functor<__int64>>::Policy600, double*)"
"GPU activities",0.336139,0.052736,2,26.368000,25.696000,27.040000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.332066,0.052097,2,26.048000,25.568000,26.529000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.263935,0.041408,1,41.408000,41.408000,41.408000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",87.276033,551.511127,2,275755.563000,8.547000,551502.580000,"cudaHostAlloc"
"API calls",9.579002,60.531235,1,60531.235000,60531.235000,60531.235000,"cudaDeviceReset"
"API calls",1.856950,11.734362,118,99.443000,40.698000,143.639000,"cudaDeviceSynchronize"
"API calls",0.352378,2.226733,418,5.327000,3.742000,27.167000,"cudaLaunchKernel"
"API calls",0.228160,1.441782,65,22.181000,7.984000,299.511000,"cudaMemcpy"
"API calls",0.177998,1.124799,118,9.532000,8.908000,26.913000,"cudaMemcpyAsync"
"API calls",0.155012,0.979546,126,7.774000,4.347000,107.959000,"cudaMalloc"
"API calls",0.081840,0.517163,126,4.104000,0.395000,17.406000,"cudaFree"
"API calls",0.079208,0.500530,236,2.120000,1.917000,16.743000,"cudaFuncGetAttributes"
"API calls",0.067209,0.424702,1,424.702000,424.702000,424.702000,"cuDeviceTotalMem"
"API calls",0.057834,0.365462,97,3.767000,0.398000,150.280000,"cuDeviceGetAttribute"
"API calls",0.023581,0.149014,118,1.262000,0.997000,19.352000,"cudaStreamSynchronize"
"API calls",0.019768,0.124919,236,0.529000,0.379000,13.091000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.012553,0.079325,1,79.325000,79.325000,79.325000,"cuDeviceGetName"
"API calls",0.011307,0.071453,236,0.302000,0.235000,0.667000,"cudaDeviceGetAttribute"
"API calls",0.011218,0.070889,236,0.300000,0.238000,0.989000,"cudaGetDevice"
"API calls",0.004798,0.030317,236,0.128000,0.091000,0.199000,"cudaPeekAtLastError"
"API calls",0.002895,0.018294,118,0.155000,0.139000,0.257000,"cudaGetLastError"
"API calls",0.001073,0.006783,1,6.783000,6.783000,6.783000,"cuDeviceGetPCIBusId"
"API calls",0.000665,0.004202,3,1.400000,0.458000,3.026000,"cuDeviceGetCount"
"API calls",0.000390,0.002466,2,1.233000,0.570000,1.896000,"cuDeviceGet"
"API calls",0.000125,0.000793,1,0.793000,0.793000,0.793000,"cuDeviceGetUuid"
