"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.800971,10.196516,139,73.356000,71.905000,78.625000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",17.792683,3.795391,139,27.304000,26.496000,29.472000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",17.298627,3.690003,139,26.546000,25.952000,29.312000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.245319,1.118889,139,8.049000,7.744000,9.792000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.747399,0.586053,139,4.216000,3.713000,6.944000,"[CUDA memcpy DtoD]"
"GPU activities",2.627683,0.560516,139,4.032000,3.552000,6.624000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",1.821356,0.388517,139,2.795000,2.240000,3.712000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.584173,0.337923,139,2.431000,1.856000,3.680000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.512011,0.322530,281,1.147000,0.768000,31.328000,"[CUDA memcpy DtoH]"
"GPU activities",1.363801,0.290915,3,96.971000,32.385000,130.209000,"[CUDA memcpy HtoD]"
"GPU activities",0.195624,0.041729,1,41.729000,41.729000,41.729000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.010351,0.002208,4,0.552000,0.544000,0.576000,"[CUDA memset]"
"API calls",63.726186,221.165857,2,110582.928000,13.390000,221152.467000,"cudaHostAlloc"
"API calls",24.114120,83.689614,2,41844.807000,488.367000,83201.247000,"cudaDeviceReset"
"API calls",3.542423,12.294208,278,44.223000,4.690000,439.077000,"cudaDeviceSynchronize"
"API calls",2.888144,10.023490,974,10.291000,5.944000,45.798000,"cudaLaunchKernel"
"API calls",1.592154,5.525672,286,19.320000,6.389000,1416.862000,"cudaMalloc"
"API calls",1.197002,4.154272,278,14.943000,11.624000,24.797000,"cudaMemcpyAsync"
"API calls",0.839080,2.912082,145,20.083000,11.753000,178.670000,"cudaMemcpy"
"API calls",0.699862,2.428916,286,8.492000,0.606000,15.591000,"cudaFree"
"API calls",0.669874,2.324840,556,4.181000,2.823000,43.847000,"cudaFuncGetAttributes"
"API calls",0.198303,0.688225,278,2.475000,1.631000,17.103000,"cudaStreamSynchronize"
"API calls",0.155686,0.540320,556,0.971000,0.549000,4.907000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.098802,0.342900,556,0.616000,0.329000,1.160000,"cudaDeviceGetAttribute"
"API calls",0.097262,0.337554,556,0.607000,0.367000,1.318000,"cudaGetDevice"
"API calls",0.044421,0.154166,1,154.166000,154.166000,154.166000,"cuDeviceTotalMem"
"API calls",0.042443,0.147301,97,1.518000,0.145000,60.280000,"cuDeviceGetAttribute"
"API calls",0.041229,0.143089,556,0.257000,0.156000,0.596000,"cudaPeekAtLastError"
"API calls",0.022680,0.078714,278,0.283000,0.187000,0.618000,"cudaGetLastError"
"API calls",0.017216,0.059748,4,14.937000,7.177000,34.172000,"cudaMemset"
"API calls",0.010944,0.037982,1,37.982000,37.982000,37.982000,"cuDeviceGetName"
"API calls",0.000962,0.003337,1,3.337000,3.337000,3.337000,"cuDeviceGetPCIBusId"
"API calls",0.000832,0.002886,3,0.962000,0.159000,1.733000,"cuDeviceGetCount"
"API calls",0.000295,0.001023,2,0.511000,0.246000,0.777000,"cuDeviceGet"
"API calls",0.000081,0.000281,1,0.281000,0.281000,0.281000,"cuDeviceGetUuid"
