"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",47.540850,10.298926,139,74.092000,73.025000,75.361000,"void part_spmv<float>(float*, float*, float*, int*, int*, bool*, unsigned int)"
"GPU activities",18.547555,4.018016,139,28.906000,28.416000,29.312000,"void part_compute_error<float>(float*, float*, float*, bool*, unsigned int)"
"GPU activities",17.385877,3.766358,139,27.096000,26.624000,27.552000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",5.184247,1.123080,139,8.079000,7.872000,8.352000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",2.558574,0.554272,139,3.987000,3.872000,4.160000,"[CUDA memcpy DtoD]"
"GPU activities",2.458589,0.532612,139,3.831000,3.616000,4.320000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<double, float*, d_square>, double*, int, thrust::plus<float>>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::GridEvenShare<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600)"
"GPU activities",1.880271,0.407329,139,2.930000,2.656000,3.520000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*, double*, int, thrust::plus<float>, double>(int, float, thrust::plus<float>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<float>>::Policy600, double*)"
"GPU activities",1.492823,0.323395,281,1.150000,0.768000,31.329000,"[CUDA memcpy DtoH]"
"GPU activities",1.385873,0.300226,3,100.075000,32.128000,134.369000,"[CUDA memcpy HtoD]"
"GPU activities",1.365926,0.295905,139,2.128000,2.048000,3.680000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",0.189223,0.040992,1,40.992000,40.992000,40.992000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.010192,0.002208,4,0.552000,0.512000,0.576000,"[CUDA memset]"
"API calls",60.958327,174.520931,2,87260.465000,12.050000,174508.881000,"cudaHostAlloc"
"API calls",28.141982,80.569220,2,40284.610000,452.174000,80117.046000,"cudaDeviceReset"
"API calls",3.388652,9.701556,278,34.897000,7.418000,50.493000,"cudaDeviceSynchronize"
"API calls",2.631340,7.533406,974,7.734000,6.229000,16.375000,"cudaLaunchKernel"
"API calls",1.216061,3.481529,278,12.523000,11.708000,37.727000,"cudaMemcpyAsync"
"API calls",0.889759,2.547339,286,8.906000,5.518000,123.865000,"cudaMalloc"
"API calls",0.831913,2.381729,145,16.425000,12.086000,178.589000,"cudaMemcpy"
"API calls",0.614736,1.759962,556,3.165000,2.932000,4.889000,"cudaFuncGetAttributes"
"API calls",0.607899,1.740387,286,6.085000,0.597000,11.430000,"cudaFree"
"API calls",0.184356,0.527804,278,1.898000,1.755000,2.888000,"cudaStreamSynchronize"
"API calls",0.150014,0.429484,556,0.772000,0.577000,1.592000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.094033,0.269211,556,0.484000,0.374000,1.205000,"cudaGetDevice"
"API calls",0.091469,0.261871,556,0.470000,0.352000,1.344000,"cudaDeviceGetAttribute"
"API calls",0.053843,0.154149,1,154.149000,154.149000,154.149000,"cuDeviceTotalMem"
"API calls",0.050263,0.143900,97,1.483000,0.146000,60.667000,"cuDeviceGetAttribute"
"API calls",0.038977,0.111588,556,0.200000,0.152000,0.319000,"cudaPeekAtLastError"
"API calls",0.020709,0.059290,278,0.213000,0.188000,0.294000,"cudaGetLastError"
"API calls",0.020244,0.057959,4,14.489000,6.548000,34.671000,"cudaMemset"
"API calls",0.013107,0.037526,1,37.526000,37.526000,37.526000,"cuDeviceGetName"
"API calls",0.001121,0.003209,1,3.209000,3.209000,3.209000,"cuDeviceGetPCIBusId"
"API calls",0.000782,0.002239,3,0.746000,0.144000,1.841000,"cuDeviceGetCount"
"API calls",0.000321,0.000920,2,0.460000,0.174000,0.746000,"cuDeviceGet"
"API calls",0.000093,0.000265,1,0.265000,0.265000,0.265000,"cuDeviceGetUuid"
