"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",48.924502,10.577739,139,76.098000,71.424000,447.939000,"void spmv<float>(float*, float*, float*, int*, int*, unsigned int)"
"GPU activities",17.510154,3.785789,139,27.235000,26.592000,29.088000,"void axpb<float>(float*, float, float, unsigned int)"
"GPU activities",16.994307,3.674260,139,26.433000,25.856000,29.152000,"void compute_error<float>(float*, float*, float*, unsigned int)"
"GPU activities",5.218779,1.128328,139,8.117000,7.840000,10.144000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<double, thrust::device_ptr<float>, thrust::device_ptr<bool>, thrust::multiplies<double>>, double*, int, thrust::plus<double>>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::GridEvenShare<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600)"
"GPU activities",3.293489,0.712070,139,5.122000,3.712000,176.226000,"[CUDA memcpy DtoD]"
"GPU activities",2.063404,0.446119,139,3.209000,2.240000,6.240000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, float*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.483488,0.320738,281,1.141000,0.768000,31.329000,"[CUDA memcpy DtoH]"
"GPU activities",1.456689,0.314944,139,2.265000,1.856000,3.616000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*, double*, int, thrust::plus<double>, double>(int, double, thrust::plus<double>, thrust::cuda_cub::cub::DeviceReducePolicy<double, int, thrust::plus<double>>::Policy600, double*)"
"GPU activities",1.443526,0.312098,139,2.245000,1.824000,3.136000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",1.408448,0.304514,3,101.504000,32.096000,137.793000,"[CUDA memcpy HtoD]"
"GPU activities",0.193002,0.041728,1,41.728000,41.728000,41.728000,"d_set_dangling_bitmap(bool*, int*, unsigned int)"
"GPU activities",0.010213,0.002208,4,0.552000,0.544000,0.576000,"[CUDA memset]"
"API calls",54.471221,148.050297,2,74025.148000,15.996000,148034.301000,"cudaHostAlloc"
"API calls",32.207277,87.537911,2,43768.955000,1280.925000,86256.986000,"cudaDeviceReset"
"API calls",5.939663,16.143733,278,58.070000,4.856000,1137.386000,"cudaDeviceSynchronize"
"API calls",2.560096,6.958225,974,7.143000,4.911000,23.030000,"cudaLaunchKernel"
"API calls",1.185193,3.221300,278,11.587000,10.313000,24.234000,"cudaMemcpyAsync"
"API calls",0.844174,2.294426,286,8.022000,5.253000,145.162000,"cudaMalloc"
"API calls",0.783315,2.129015,145,14.682000,8.621000,209.555000,"cudaMemcpy"
"API calls",0.574535,1.561560,556,2.808000,2.337000,12.733000,"cudaFuncGetAttributes"
"API calls",0.573590,1.558992,286,5.451000,0.567000,12.795000,"cudaFree"
"API calls",0.168599,0.458245,278,1.648000,1.400000,3.563000,"cudaStreamSynchronize"
"API calls",0.157248,0.427394,1,427.394000,427.394000,427.394000,"cuDeviceTotalMem"
"API calls",0.139677,0.379637,556,0.682000,0.461000,1.645000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.130900,0.355780,97,3.667000,0.408000,146.900000,"cuDeviceGetAttribute"
"API calls",0.083148,0.225993,556,0.406000,0.297000,1.337000,"cudaGetDevice"
"API calls",0.081961,0.222766,556,0.400000,0.270000,1.116000,"cudaDeviceGetAttribute"
"API calls",0.033540,0.091159,556,0.163000,0.110000,0.643000,"cudaPeekAtLastError"
"API calls",0.025018,0.067997,1,67.997000,67.997000,67.997000,"cuDeviceGetName"
"API calls",0.019057,0.051795,4,12.948000,5.370000,32.562000,"cudaMemset"
"API calls",0.018280,0.049685,278,0.178000,0.125000,0.388000,"cudaGetLastError"
"API calls",0.001468,0.003990,3,1.330000,0.443000,2.792000,"cuDeviceGetCount"
"API calls",0.001063,0.002888,1,2.888000,2.888000,2.888000,"cuDeviceGetPCIBusId"
"API calls",0.000699,0.001899,2,0.949000,0.424000,1.475000,"cuDeviceGet"
"API calls",0.000279,0.000759,1,0.759000,0.759000,0.759000,"cuDeviceGetUuid"
