"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",51.786744,25.224456,200,126.122000,124.225000,131.009000,"void d_fixed_spmv<__int64>(__int64*, __int64*, __int64*, int*, int*, int)"
"GPU activities",15.216887,7.411891,200,37.059000,36.352000,38.208000,"void d_fixed_axpb<__int64>(__int64*, __int64, __int64, unsigned int)"
"GPU activities",13.239523,6.448750,200,32.243000,31.105000,34.272000,"void d_fixed_compute_error<__int64>(__int64*, __int64*, __int64*, unsigned int)"
"GPU activities",6.499464,3.165780,200,15.828000,15.360000,16.320000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, thrust::cuda_cub::transform_pair_of_input_iterators_t<int, thrust::device_ptr<__int64>, thrust::device_ptr<bool>, d_fixed_mult_functor<bool, __int64>>, int*, int, d_fixed_add_functor<bool>>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::GridEvenShare<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600)"
"GPU activities",4.923113,2.397966,200,11.989000,11.488000,13.184000,"[CUDA memcpy DtoD]"
"GPU activities",3.752714,1.827884,200,9.139000,8.608000,14.816000,"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, thrust::cuda_cub::transform_input_iterator_t<long, __int64*, is_over_error>, long*, int, thrust::plus<long>>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::GridEvenShare<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600)"
"GPU activities",1.309216,0.637697,200,3.188000,2.080000,131.456000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*, int*, int, d_fixed_add_functor<bool>, int>(int, bool, d_fixed_add_functor<bool>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, d_fixed_add_functor<bool>>::Policy600, int*)"
"GPU activities",1.050644,0.511751,403,1.269000,0.768000,61.728000,"[CUDA memcpy DtoH]"
"GPU activities",0.968317,0.471651,3,157.217000,32.512000,303.874000,"[CUDA memcpy HtoD]"
"GPU activities",0.950579,0.463011,200,2.315000,2.145000,3.328000,"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*, long*, int, thrust::plus<long>, long>(int, long, thrust::plus<long>, thrust::cuda_cub::cub::DeviceReducePolicy<long, int, thrust::plus<long>>::Policy600, long*)"
"GPU activities",0.109714,0.053440,2,26.720000,26.240000,27.200000,"void d_set_value<__int64>(__int64*, __int64, unsigned int)"
"GPU activities",0.107745,0.052481,2,26.240000,25.985000,26.496000,"void d_set_value<bool>(bool*, bool, unsigned int)"
"GPU activities",0.085341,0.041568,1,41.568000,41.568000,41.568000,"d_fixed_set_dangling_bitmap(bool*, int*, unsigned int)"
"API calls",81.850134,550.215226,2,275107.613000,9.055000,550206.171000,"cudaHostAlloc"
"API calls",8.967323,60.280383,1,60280.383000,60280.383000,60280.383000,"cudaDeviceReset"
"API calls",5.215022,35.056566,400,87.641000,6.101000,468.469000,"cudaDeviceSynchronize"
"API calls",1.412437,9.494723,1405,6.757000,4.085000,33.902000,"cudaLaunchKernel"
"API calls",0.688656,4.629305,400,11.573000,9.611000,41.699000,"cudaMemcpyAsync"
"API calls",0.425643,2.861269,206,13.889000,7.400000,361.898000,"cudaMemcpy"
"API calls",0.414519,2.786492,408,6.829000,4.584000,97.053000,"cudaMalloc"
"API calls",0.322745,2.169563,800,2.711000,2.000000,30.702000,"cudaFuncGetAttributes"
"API calls",0.320704,2.155848,408,5.283000,0.408000,26.992000,"cudaFree"
"API calls",0.090862,0.610793,400,1.526000,1.160000,16.215000,"cudaStreamSynchronize"
"API calls",0.074567,0.501256,800,0.626000,0.418000,19.004000,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.049145,0.330364,97,3.405000,0.209000,200.892000,"cuDeviceGetAttribute"
"API calls",0.046675,0.313760,800,0.392000,0.259000,13.091000,"cudaGetDevice"
"API calls",0.044415,0.298565,800,0.373000,0.246000,0.863000,"cudaDeviceGetAttribute"
"API calls",0.034263,0.230322,1,230.322000,230.322000,230.322000,"cuDeviceTotalMem"
"API calls",0.017965,0.120766,800,0.150000,0.099000,0.427000,"cudaPeekAtLastError"
"API calls",0.012563,0.084453,1,84.453000,84.453000,84.453000,"cuDeviceGetName"
"API calls",0.010897,0.073249,400,0.183000,0.139000,0.524000,"cudaGetLastError"
"API calls",0.000683,0.004594,1,4.594000,4.594000,4.594000,"cuDeviceGetPCIBusId"
"API calls",0.000507,0.003405,3,1.135000,0.257000,2.721000,"cuDeviceGetCount"
"API calls",0.000220,0.001476,2,0.738000,0.280000,1.196000,"cuDeviceGet"
"API calls",0.000057,0.000380,1,0.380000,0.380000,0.380000,"cuDeviceGetUuid"
